instance,status,final_ub_cert,refine_ub_float,ub_decimal_strict,ub_decimal_with_tol,lag_float,lag_decimal_str,passes_strict,passes_tol,required_eps_safeguard,delta_float,delta_decimal
C_n055_009_a50_026,PASS,2226,2226,2226,2226,2226.009648,2226.009648,True,True,False,0.009648,0.009648
C_n055_009_a75_027,PASS,2373,2373,2373,2373,2373.0,2373.000000,True,True,False,0.0,0.0
C_n055_010_a25_028,PASS,1186,1186,1186,1186,1186.0,1186.000000,True,True,False,0.0,0.0
C_n055_010_a50_029,PASS,1894,1894,1894,1894,1894.0,1894.000000,True,True,False,0.0,0.0
C_n055_010_a75_030,PASS,2048,2048,2048,2048,2048.0,2048.000000,True,True,False,0.0,0.0
C_n060_011_a25_031,PASS,1212,1212,1212,1212,1212.679303,1212.679303,True,True,False,0.679303,0.679303
C_n060_011_a50_032,PASS,1664,1664,1664,1664,1664.0,1664.000000,True,True,False,0.0,0.0
C_n060_011_a75_033,PASS,1713,1713,1713,1713,1713.0,1713.000000,True,True,False,0.0,0.0
C_n060_012_a25_034,PASS,1113,1113,1113,1113,1113.0,1113.000000,True,True,False,0.0,0.0
C_n060_012_a50_035,PASS,1731,1731,1731,1731,1731.0,1731.000000,True,True,False,0.0,0.0
C_n060_012_a75_036,PASS,1759,1759,1759,1759,1759.0,1759.000000,True,True,False,0.0,0.0
C_n060_013_a25_037,PASS,1294,1294,1294,1294,1294.0,1294.000000,True,True,False,0.0,0.0
C_n060_013_a50_038,PASS,1784,1784,1784,1784,1784.0,1784.000000,True,True,False,0.0,0.0
C_n060_013_a75_039,PASS,2019,2019,2019,2019,2019.0,2019.000000,True,True,False,0.0,0.0
C_n060_014_a25_040,PASS,1544,1544,1544,1544,1544.0,1544.000000,True,True,False,0.0,0.0
C_n060_014_a50_041,PASS,2341,2341,2341,2341,2341.0,2341.000000,True,True,False,0.0,0.0
C_n060_014_a75_042,PASS,2476,2476,2476,2476,2476.0,2476.000000,True,True,False,0.0,0.0
C_n060_015_a25_043,PASS,1466,1466,1466,1466,1466.0,1466.000000,True,True,False,0.0,0.0
C_n060_015_a50_044,PASS,2123,2123,2123,2123,2123.0,2123.000000,True,True,False,0.0,0.0
C_n060_015_a75_045,PASS,2190,2190,2190,2190,2190.0,2190.000000,True,True,False,0.0,0.0
C_n065_016_a25_046,PASS,1312,1312,1312,1312,1312.679396,1312.679396,True,True,False,0.679396,0.679396
C_n065_016_a50_047,PASS,1863,1863,1863,1863,1863.0,1863.000000,True,True,False,0.0,0.0
C_n065_016_a75_048,PASS,1924,1924,1924,1924,1924.0,1924.000000,True,True,False,0.0,0.0
C_n065_017_a25_049,PASS,1302,1302,1302,1302,1302.0,1302.000000,True,True,False,0.0,0.0
C_n065_017_a50_050,PASS,1930,1930,1930,1930,1930.508437,1930.508437,True,True,False,0.508437,0.508437
C_n065_017_a75_051,PASS_NEEDS_EPS,1971,1971,1970,1971,1971.0,1971.000000,False,True,True,-0.0,-0.0
C_n065_018_a25_052,PASS,1386,1386,1386,1386,1386.0,1386.000000,True,True,False,0.0,0.0
C_n065_018_a50_053,PASS,1906,1906,1906,1906,1906.007344,1906.007344,True,True,False,0.007344,0.007344
C_n065_018_a75_054,PASS,2146,2146,2146,2146,2146.0,2146.000000,True,True,False,0.0,0.0
C_n065_019_a25_055,PASS,1864,1864,1864,1864,1864.0,1864.000000,True,True,False,0.0,0.0
C_n065_019_a50_056,PASS,2464,2464,2464,2464,2464.0,2464.000000,True,True,False,0.0,0.0
C_n065_019_a75_057,PASS,2600,2600,2600,2600,2600.0,2600.000000,True,True,False,0.0,0.0
C_n065_020_a25_058,PASS,1566,1566,1566,1566,1566.0,1566.000000,True,True,False,0.0,0.0
C_n065_020_a50_059,PASS,2323,2323,2323,2323,2323.001578,2323.001578,True,True,False,0.001578,0.001578
C_n065_020_a75_060,PASS,2489,2489,2489,2489,2489.0,2489.000000,True,True,False,0.0,0.0
C_n070_021_a25_061,PASS,1314,1314,1314,1314,1314.689157,1314.689157,True,True,False,0.689157,0.689157
C_n070_021_a50_062,PASS,1964,1964,1964,1964,1964.0,1964.000000,True,True,False,0.0,0.0
C_n070_021_a75_063,PASS,2035,2035,2035,2035,2035.0,2035.000000,True,True,False,0.0,0.0
C_n070_022_a25_064,PASS,1413,1413,1413,1413,1413.50819,1413.508190,True,True,False,0.50819,0.50819
C_n070_022_a50_065,PASS,2060,2060,2060,2060,2060.14153,2060.141530,True,True,False,0.14153,0.14153
C_n070_022_a75_066,PASS_NEEDS_EPS,2102,2102,2101,2102,2102.0,2102.000000,False,True,True,-0.0,-0.0
