instance,family,n,K,alpha,gap,distance,tier
D_n040_002_a75_006,D,40,4,0.75,0.0,Line,exact
D_n040_003_a25_007,D,40,4,0.25,1.158708,Line,1-2%
D_n040_003_a50_008,D,40,4,0.5,0.156159,Line,<0.5%
D_n040_003_a75_009,D,40,4,0.75,0.0,Line,exact
D_n040_004_a25_010,D,40,4,0.25,0.0,Line,exact
D_n040_004_a50_011,D,40,4,0.5,0.311979,Line,<0.5%
D_n040_004_a75_012,D,40,4,0.75,0.0,Line,exact
D_n040_005_a25_013,D,40,4,0.25,0.404569,Line,<0.5%
D_n040_005_a50_014,D,40,4,0.5,0.169955,Line,<0.5%
D_n040_005_a75_015,D,40,4,0.75,0.0,Line,exact
D_n045_006_a25_016,D,45,4,0.25,0.454303,Line,<0.5%
D_n045_006_a50_017,D,45,4,0.5,0.008277,Line,<0.5%
D_n045_006_a75_018,D,45,4,0.75,0.0,Line,exact
D_n045_007_a25_019,D,45,4,0.25,0.82397,Line,0.5-1%
D_n045_007_a50_020,D,45,4,0.5,0.78118,Line,0.5-1%
D_n045_007_a75_021,D,45,4,0.75,0.0,Line,exact
D_n045_008_a25_022,D,45,4,0.25,0.240762,Line,<0.5%
D_n045_008_a50_023,D,45,4,0.5,0.104603,Line,<0.5%
D_n045_008_a75_024,D,45,4,0.75,0.0,Line,exact
D_n045_009_a25_025,D,45,4,0.25,0.234492,Line,<0.5%
D_n045_009_a50_026,D,45,4,0.5,0.0,Line,exact
D_n045_009_a75_027,D,45,4,0.75,0.0,Line,exact
D_n045_010_a25_028,D,45,4,0.25,0.3125,Line,<0.5%
D_n045_010_a50_029,D,45,4,0.5,0.143433,Line,<0.5%
D_n045_010_a75_030,D,45,4,0.75,0.0,Line,exact
D_n050_011_a25_031,D,50,4,0.25,0.241014,Line,<0.5%
D_n050_011_a50_032,D,50,4,0.5,0.014102,Line,<0.5%
D_n050_011_a75_033,D,50,4,0.75,0.0,Line,exact
D_n050_012_a25_034,D,50,4,0.25,0.607181,Line,0.5-1%
D_n050_012_a50_035,D,50,4,0.5,0.815661,Line,0.5-1%
D_n050_012_a75_036,D,50,4,0.75,0.148629,Line,<0.5%
D_n050_013_a25_037,D,50,4,0.25,0.854525,Line,0.5-1%
D_n050_013_a50_038,D,50,4,0.5,0.273527,Line,<0.5%
D_n050_013_a75_039,D,50,4,0.75,0.0,Line,exact
D_n050_014_a25_040,D,50,4,0.25,0.950388,Line,0.5-1%
D_n050_014_a50_041,D,50,4,0.5,0.248139,Line,<0.5%
D_n050_014_a75_042,D,50,4,0.75,0.0,Line,exact
D_n050_015_a25_043,D,50,4,0.25,0.575185,Line,0.5-1%
D_n050_015_a50_044,D,50,4,0.5,0.006285,Line,<0.5%
D_n050_015_a75_045,D,50,4,0.75,0.0,Line,exact
D_n055_016_a25_046,D,55,4,0.25,1.806207,Line,1-2%
D_n055_016_a50_047,D,55,4,0.5,0.089637,Line,<0.5%
D_n055_016_a75_048,D,55,4,0.75,0.073771,Line,<0.5%
D_n055_017_a25_049,D,55,4,0.25,0.604346,Line,0.5-1%
D_n055_017_a50_050,D,55,4,0.5,0.690782,Line,0.5-1%
D_n055_017_a75_051,D,55,4,0.75,0.155135,Line,<0.5%
D_n055_018_a25_052,D,55,4,0.25,0.724416,Line,0.5-1%
D_n055_018_a50_053,D,55,4,0.5,0.20426,Line,<0.5%
D_n055_018_a75_054,D,55,4,0.75,0.006195,Line,<0.5%
D_n055_019_a25_055,D,55,4,0.25,1.256887,Line,1-2%
D_n055_019_a50_056,D,55,4,0.5,0.311526,Line,<0.5%
D_n055_019_a75_057,D,55,4,0.75,0.0,Line,exact
D_n055_020_a25_058,D,55,4,0.25,0.626986,Line,0.5-1%
D_n055_020_a50_059,D,55,4,0.5,0.095097,Line,<0.5%
D_n055_020_a75_060,D,55,4,0.75,0.0,Line,exact
D_n060_021_a25_061,D,60,4,0.25,0.950292,Line,0.5-1%
D_n060_021_a50_062,D,60,4,0.5,0.078917,Line,<0.5%
D_n060_021_a75_063,D,60,4,0.75,0.094084,Line,<0.5%
D_n060_022_a25_064,D,60,4,0.25,0.74237,Line,0.5-1%
D_n060_022_a50_065,D,60,4,0.5,0.914464,Line,0.5-1%
D_n060_022_a75_066,D,60,4,0.75,0.0,Line,exact
D_n060_023_a25_067,D,60,4,0.25,0.244846,Line,<0.5%
