instance,family,seed,iters,obj_adaptive,obj_frozen,delta,s_adaptive,s_frozen,d_weights_adaptive,r_weights_adaptive,d_usage_adaptive,r_usage_adaptive,d_usage_frozen,r_usage_frozen,acc_worse_adaptive,acc_worse_frozen,isolation_leak,error
B_n110_006_a25_016,B,42,200,2424.0,2424.0,0.0,29.37,33.69,"[5.531, 7.5162, 6.6187]","[7.0352, 6.8425, 4.906, 6.2062]","[74, 67, 59]","[50, 55, 43, 52]","[60, 74, 66]","[46, 49, 53, 52]",155,153,,
B_n110_006_a25_016,B,123,200,2423.0,2424.0,-1.0,26.61,27.16,"[4.948, 7.1787, 6.7088]","[7.3028, 6.8309, 4.9651, 5.8581]","[61, 74, 65]","[78, 46, 39, 37]","[68, 67, 65]","[70, 48, 36, 46]",164,168,,
B_n110_006_a25_016,B,456,200,2423.0,2404.0,19.0,29.3,28.29,"[5.5288, 7.0392, 4.9578]","[6.9751, 6.6587, 4.5333, 5.4011]","[67, 78, 55]","[52, 55, 48, 45]","[72, 63, 65]","[58, 48, 43, 51]",143,151,,
B_n110_006_a25_016,B,789,200,2424.0,2434.0,-10.0,31.35,32.8,"[5.3676, 7.1804, 6.566]","[7.0841, 7.1996, 4.6386, 6.4097]","[60, 70, 70]","[60, 50, 50, 40]","[75, 75, 50]","[55, 54, 49, 42]",156,162,,
B_n110_006_a25_016,B,1337,200,2336.0,2291.0,45.0,31.35,33.81,"[5.6362, 6.9008, 6.7384]","[6.9833, 6.9818, 5.837, 6.1601]","[64, 72, 64]","[51, 50, 54, 45]","[60, 64, 76]","[54, 54, 50, 42]",173,165,,
B_n110_006_a25_016,B,2024,200,2424.0,2423.0,1.0,28.66,42.46,"[6.0366, 7.1827, 4.9679]","[7.0062, 7.0116, 4.7229, 5.4629]","[55, 72, 73]","[61, 49, 50, 40]","[70, 59, 71]","[41, 50, 69, 40]",156,157,,
B_n120_011_a25_031,B,42,200,2525.0,2525.0,0.0,41.11,46.62,"[5.8925, 7.1662, 6.2475]","[7.4552, 7.2503, 5.5575, 4.8232]","[59, 75, 66]","[59, 58, 46, 37]","[62, 72, 66]","[41, 55, 57, 47]",158,136,,
B_n120_011_a25_031,B,123,200,2516.0,2514.0,2.0,47.73,41.55,"[5.8009, 7.1887, 5.179]","[7.4214, 7.6425, 4.8798, 4.8521]","[63, 87, 50]","[48, 52, 56, 44]","[61, 75, 64]","[46, 44, 57, 53]",148,149,,
B_n120_011_a25_031,B,456,200,2503.0,2503.0,0.0,41.11,42.44,"[5.3228, 7.5198, 5.8163]","[7.4897, 7.4818, 4.9886, 5.2713]","[64, 80, 56]","[56, 58, 49, 37]","[64, 71, 65]","[47, 53, 51, 49]",147,144,,
B_n120_011_a25_031,B,789,200,2513.0,2513.0,0.0,48.71,47.56,"[5.2875, 7.5263, 5.5324]","[7.0219, 7.2178, 5.1155, 5.5035]","[59, 79, 62]","[51, 48, 54, 47]","[69, 68, 63]","[39, 45, 55, 61]",145,143,,
B_n120_011_a25_031,B,1337,200,2503.0,2514.0,-11.0,41.27,44.2,"[4.5432, 7.525, 6.319]","[7.3493, 6.9043, 5.1893, 5.6622]","[59, 66, 75]","[47, 61, 57, 35]","[60, 62, 78]","[50, 43, 67, 40]",146,135,,
B_n120_011_a25_031,B,2024,200,2526.0,2526.0,0.0,42.93,47.76,"[5.6879, 7.4794, 6.0248]","[7.4539, 7.2637, 5.3342, 4.4516]","[61, 75, 64]","[46, 75, 42, 37]","[64, 62, 74]","[40, 58, 58, 44]",149,142,,
B_n120_012_a25_034,B,42,200,2842.0,2843.0,-1.0,47.47,49.95,"[5.2608, 6.912, 5.9404]","[6.8057, 7.2031, 4.7555, 5.4216]","[66, 76, 58]","[60, 50, 41, 49]","[67, 69, 64]","[51, 60, 42, 47]",158,148,,
B_n120_012_a25_034,B,123,200,2842.0,2851.0,-9.0,47.2,58.65,"[5.8786, 7.3431, 5.7447]","[6.9086, 6.8864, 5.1611, 5.7103]","[62, 67, 71]","[61, 52, 40, 47]","[72, 69, 59]","[55, 49, 55, 41]",155,153,,
B_n120_012_a25_034,B,456,200,2842.0,2841.0,1.0,53.31,54.67,"[5.1831, 7.3112, 6.2114]","[7.1271, 7.1675, 5.4422, 5.4439]","[51, 77, 72]","[63, 49, 44, 44]","[72, 66, 62]","[53, 48, 51, 48]",156,147,,
B_n120_012_a25_034,B,789,200,2860.0,2870.0,-10.0,46.12,56.53,"[5.4327, 7.2033, 5.536]","[7.5017, 7.3973, 4.4385, 4.2684]","[54, 82, 64]","[49, 78, 36, 37]","[68, 73, 59]","[43, 58, 44, 55]",149,143,,
B_n120_012_a25_034,B,1337,200,2871.0,2871.0,0.0,60.47,58.44,"[5.2811, 7.8485, 4.4813]","[6.8512, 6.5704, 4.9643, 5.2284]","[63, 81, 56]","[53, 50, 51, 46]","[65, 62, 73]","[50, 52, 47, 51]",142,149,,
B_n120_012_a25_034,B,2024,200,2869.0,2850.0,19.0,48.69,53.78,"[4.6471, 7.6096, 5.7415]","[7.1673, 7.336, 4.9479, 4.7228]","[66, 77, 57]","[47, 66, 38, 49]","[80, 65, 55]","[49, 50, 49, 52]",147,132,,
B_n120_014_a25_040,B,42,200,3241.0,3242.0,-1.0,52.53,50.92,"[4.9805, 7.6035, 5.2104]","[7.3278, 7.441, 4.5488, 6.0869]","[65, 89, 46]","[48, 55, 54, 43]","[73, 69, 58]","[53, 53, 50, 44]",135,135,,
B_n120_014_a25_040,B,123,200,3241.0,3242.0,-1.0,41.73,52.21,"[6.4055, 7.3233, 5.942]","[7.5854, 7.7722, 4.3142, 4.8265]","[87, 65, 48]","[60, 65, 38, 37]","[78, 73, 49]","[48, 51, 54, 47]",147,146,,
B_n120_014_a25_040,B,456,200,3242.0,3242.0,0.0,44.11,47.04,"[5.5495, 7.4891, 4.6]","[7.5017, 7.4695, 5.1657, 4.689]","[66, 84, 50]","[61, 48, 52, 39]","[77, 66, 57]","[52, 53, 47, 48]",148,145,,
B_n120_014_a25_040,B,789,200,3241.0,3242.0,-1.0,47.19,48.76,"[6.07, 7.2681, 5.6396]","[7.7542, 7.7283, 5.528, 3.9397]","[64, 77, 59]","[63, 51, 49, 37]","[55, 71, 74]","[50, 61, 50, 39]",154,143,,
B_n120_014_a25_040,B,1337,200,3231.0,3231.0,0.0,45.11,50.85,"[6.0111, 7.3952, 5.2985]","[7.0819, 7.7125, 4.8687, 4.5497]","[75, 67, 58]","[65, 65, 47, 23]","[68, 62, 70]","[61, 50, 51, 38]",153,142,,
B_n120_014_a25_040,B,2024,200,3222.0,3242.0,-20.0,35.22,43.49,"[5.1309, 7.4751, 5.4496]","[7.0529, 7.4542, 3.5367, 5.6212]","[65, 76, 59]","[51, 57, 34, 58]","[71, 64, 65]","[52, 53, 44, 51]",160,143,,
B_n130_016_a25_046,B,42,200,2744.0,2744.0,0.0,49.51,62.12,"[5.523, 7.1436, 5.5563]","[7.1789, 7.3308, 5.1091, 4.4132]","[68, 75, 57]","[60, 55, 43, 42]","[52, 77, 71]","[56, 37, 57, 50]",154,149,,
B_n130_016_a25_046,B,123,200,2744.0,2744.0,0.0,42.28,50.24,"[5.1969, 6.9709, 5.7572]","[6.6062, 6.7641, 4.4975, 5.2046]","[68, 74, 58]","[60, 70, 32, 38]","[74, 63, 63]","[57, 49, 44, 50]",164,149,,
B_n130_016_a25_046,B,456,200,2744.0,2743.0,1.0,43.69,48.07,"[4.7041, 7.2818, 5.8442]","[7.0954, 7.624, 4.7789, 5.4903]","[44, 85, 71]","[43, 61, 34, 62]","[47, 79, 74]","[50, 47, 46, 57]",148,153,,
B_n130_016_a25_046,B,789,200,2744.0,2733.0,11.0,47.61,49.42,"[6.1098, 7.7562, 5.6154]","[7.0888, 7.1849, 6.1128, 5.5189]","[73, 68, 59]","[57, 59, 49, 35]","[70, 58, 72]","[57, 44, 50, 49]",149,145,,
B_n130_016_a25_046,B,1337,200,2732.0,2744.0,-12.0,45.6,45.62,"[5.6367, 7.2596, 5.5059]","[7.2418, 7.4247, 4.3258, 5.6017]","[50, 81, 69]","[51, 52, 52, 45]","[56, 70, 74]","[47, 52, 48, 53]",154,147,,
B_n130_016_a25_046,B,2024,200,2742.0,2744.0,-2.0,43.81,48.33,"[4.5166, 7.2292, 4.659]","[6.9647, 7.4767, 4.3403, 3.6147]","[63, 75, 62]","[61, 51, 47, 41]","[62, 67, 71]","[53, 50, 46, 51]",143,141,,
B_n130_017_a25_049,B,42,200,2942.0,3042.0,-100.0,51.49,72.47,"[6.9092, 7.234, 5.394]","[6.7628, 7.8085, 4.048, 4.057]","[63, 79, 58]","[65, 65, 31, 39]","[71, 63, 66]","[45, 56, 51, 48]",148,139,,
B_n130_017_a25_049,B,123,200,3051.0,2951.0,100.0,68.54,69.39,"[5.6607, 7.621, 4.0801]","[7.1406, 7.3233, 4.93, 4.7813]","[67, 92, 41]","[57, 66, 46, 31]","[78, 59, 63]","[57, 37, 59, 47]",154,136,,
B_n130_017_a25_049,B,456,200,3012.0,3010.0,2.0,48.58,54.42,"[6.1493, 7.3098, 4.7163]","[7.1121, 6.829, 5.4646, 4.7902]","[61, 85, 54]","[62, 65, 35, 38]","[62, 69, 69]","[60, 45, 43, 52]",153,143,,
B_n130_017_a25_049,B,789,200,2934.0,2953.0,-19.0,69.59,63.27,"[5.1866, 7.0404, 5.6383]","[7.0189, 7.4178, 4.4536, 5.5261]","[55, 78, 67]","[61, 51, 54, 34]","[72, 62, 66]","[45, 45, 62, 48]",156,140,,
B_n130_017_a25_049,B,1337,200,3042.0,3022.0,20.0,56.16,57.66,"[6.3582, 7.1412, 5.5458]","[7.0643, 7.7735, 5.0385, 4.7694]","[72, 66, 62]","[66, 62, 40, 32]","[73, 54, 73]","[45, 66, 48, 41]",149,146,,
B_n130_017_a25_049,B,2024,200,3023.0,3009.0,14.0,62.28,59.87,"[4.9226, 7.3375, 5.4404]","[7.2551, 7.5485, 5.5874, 4.0376]","[55, 87, 58]","[41, 59, 55, 45]","[56, 74, 70]","[42, 51, 57, 50]",154,137,,
B_n130_019_a25_055,B,42,200,3358.0,3359.0,-1.0,39.4,39.8,"[5.8809, 7.4018, 5.5842]","[7.2683, 7.3882, 5.5648, 5.2539]","[67, 69, 64]","[51, 58, 48, 43]","[65, 65, 70]","[53, 53, 51, 43]",142,144,,
B_n130_019_a25_055,B,123,200,3359.0,3359.0,0.0,32.73,41.52,"[6.0022, 7.302, 5.9762]","[7.4385, 8.1199, 3.8168, 5.1113]","[69, 67, 64]","[58, 61, 40, 41]","[68, 59, 73]","[46, 49, 56, 49]",147,127,,
B_n130_019_a25_055,B,456,200,3348.0,3348.0,0.0,31.51,35.55,"[4.9397, 7.7867, 4.8535]","[7.3611, 7.712, 4.9776, 4.676]","[59, 91, 50]","[53, 51, 49, 47]","[78, 63, 59]","[45, 46, 51, 58]",148,133,,
B_n130_019_a25_055,B,789,200,3358.0,3358.0,0.0,34.22,52.26,"[4.7614, 6.6556, 6.2081]","[7.6363, 7.8412, 4.3028, 3.9649]","[51, 78, 71]","[58, 49, 44, 49]","[63, 78, 59]","[57, 53, 47, 43]",132,131,,
B_n130_019_a25_055,B,1337,200,3359.0,3348.0,11.0,31.92,44.85,"[4.553, 7.5836, 6.2633]","[7.5234, 7.9937, 3.7224, 2.9179]","[65, 69, 66]","[58, 68, 39, 35]","[62, 60, 78]","[52, 52, 45, 51]",134,133,,
B_n130_019_a25_055,B,2024,200,3348.0,3359.0,-11.0,31.98,58.12,"[5.624, 6.9104, 6.6211]","[7.6149, 7.9859, 4.8405, 4.2299]","[53, 63, 84]","[49, 67, 39, 45]","[66, 55, 79]","[49, 55, 50, 46]",136,132,,
B_n140_021_a25_061,B,42,200,3142.0,3142.0,0.0,86.87,92.25,"[4.9957, 7.0682, 5.4229]","[6.8705, 7.8298, 4.516, 3.1743]","[59, 74, 67]","[52, 64, 52, 32]","[57, 77, 66]","[43, 58, 44, 55]",145,146,,
B_n140_021_a25_061,B,123,200,3141.0,3142.0,-1.0,79.96,111.12,"[5.6292, 7.3845, 6.6276]","[7.5638, 7.1898, 5.616, 4.5308]","[79, 71, 50]","[64, 59, 45, 32]","[71, 58, 71]","[44, 52, 61, 43]",153,130,,
B_n140_021_a25_061,B,456,200,3142.0,3142.0,0.0,62.42,91.14,"[6.3323, 7.4088, 5.711]","[7.3571, 7.2565, 4.2865, 5.7536]","[55, 68, 77]","[57, 67, 34, 42]","[61, 76, 63]","[51, 54, 44, 51]",148,139,,
B_n140_021_a25_061,B,789,200,3142.0,3108.0,34.0,90.48,104.8,"[5.7368, 7.0347, 4.8713]","[6.5076, 7.7506, 4.152, 5.3582]","[67, 76, 57]","[44, 59, 51, 46]","[61, 69, 70]","[52, 52, 55, 41]",153,151,,
B_n140_021_a25_061,B,1337,200,3141.0,3133.0,8.0,67.69,83.1,"[5.8307, 7.8719, 5.4835]","[7.5096, 7.6334, 4.504, 3.9017]","[73, 67, 60]","[77, 56, 35, 32]","[68, 79, 53]","[56, 55, 43, 46]",148,138,,
B_n140_021_a25_061,B,2024,200,3142.0,3132.0,10.0,84.92,81.05,"[4.8981, 7.255, 6.1712]","[7.5031, 7.0514, 5.0635, 5.3149]","[58, 80, 62]","[46, 63, 52, 39]","[68, 66, 66]","[54, 49, 44, 53]",148,148,,
B_n140_023_a25_067,B,42,200,3780.0,3679.0,101.0,109.79,125.89,"[5.1715, 7.4282, 5.2676]","[7.044, 6.9295, 4.6806, 4.2619]","[51, 82, 67]","[57, 66, 43, 34]","[62, 66, 72]","[45, 50, 55, 50]",153,121,,
B_n140_023_a25_067,B,123,200,3779.0,3768.0,11.0,101.26,108.52,"[5.6139, 7.0641, 4.94]","[7.0367, 7.0647, 4.1822, 3.9533]","[61, 77, 62]","[63, 60, 40, 37]","[64, 66, 70]","[54, 43, 49, 54]",145,135,,
B_n140_023_a25_067,B,456,200,3769.0,3772.0,-3.0,93.7,117.73,"[4.993, 6.9932, 5.3951]","[7.4985, 6.8903, 5.5675, 3.5576]","[53, 77, 70]","[48, 62, 40, 50]","[52, 71, 77]","[54, 44, 46, 56]",145,144,,
B_n140_023_a25_067,B,789,200,3690.0,3690.0,0.0,115.48,130.15,"[4.8337, 7.1975, 5.6294]","[6.7865, 7.1271, 5.1737, 4.2467]","[60, 76, 64]","[47, 60, 55, 38]","[72, 55, 73]","[50, 57, 49, 44]",137,135,,
B_n140_023_a25_067,B,1337,200,3767.0,3770.0,-3.0,113.23,122.33,"[4.4927, 6.99, 4.6629]","[7.2457, 5.9535, 4.9742, 3.7733]","[52, 89, 59]","[67, 49, 45, 39]","[69, 72, 59]","[56, 56, 51, 37]",140,142,,
B_n140_023_a25_067,B,2024,200,3778.0,3678.0,100.0,113.6,117.08,"[5.0134, 7.3227, 5.4754]","[7.005, 6.9575, 4.2208, 4.4084]","[69, 72, 59]","[53, 60, 48, 39]","[79, 61, 60]","[46, 48, 53, 53]",145,135,,
B_n140_024_a25_070,B,42,200,4254.0,4253.0,1.0,111.65,137.25,"[4.7957, 7.3442, 6.1923]","[7.3283, 6.9979, 4.0649, 5.86]","[44, 85, 71]","[56, 61, 39, 44]","[65, 79, 56]","[46, 52, 51, 51]",148,151,,
B_n140_024_a25_070,B,123,200,4254.0,4253.0,1.0,134.34,136.43,"[4.9554, 7.9106, 5.2538]","[7.6116, 7.2513, 5.4369, 3.8869]","[64, 76, 60]","[61, 51, 48, 40]","[70, 63, 67]","[56, 51, 48, 45]",138,147,,
B_n140_024_a25_070,B,456,200,4262.0,4254.0,8.0,106.49,134.07,"[6.486, 7.1788, 6.1158]","[6.9268, 7.907, 5.4519, 5.049]","[58, 72, 70]","[61, 64, 37, 38]","[62, 61, 77]","[50, 55, 48, 47]",146,127,,
B_n140_024_a25_070,B,789,200,4164.0,4262.0,-98.0,150.87,121.47,"[4.7766, 7.7849, 5.2633]","[6.8229, 7.2438, 5.4177, 4.687]","[56, 82, 62]","[38, 55, 63, 44]","[69, 64, 67]","[45, 48, 41, 66]",139,137,,
B_n140_024_a25_070,B,1337,200,4264.0,4253.0,11.0,120.83,134.11,"[6.3224, 7.8786, 5.9978]","[7.702, 8.0063, 5.8576, 4.7032]","[63, 75, 62]","[55, 56, 42, 47]","[69, 65, 66]","[46, 56, 46, 52]",147,124,,
B_n140_024_a25_070,B,2024,200,4253.0,4254.0,-1.0,150.88,159.82,"[4.2901, 7.7424, 5.7845]","[7.3285, 7.6062, 4.8359, 4.1017]","[67, 81, 52]","[55, 48, 56, 41]","[78, 61, 61]","[48, 45, 57, 50]",139,125,,
B_n150_026_a25_076,B,42,200,3235.0,3244.0,-9.0,93.79,100.74,"[5.679, 7.4554, 6.0242]","[7.0881, 7.4306, 4.4083, 5.1042]","[69, 79, 52]","[46, 64, 46, 44]","[48, 80, 72]","[55, 49, 49, 47]",143,150,,
B_n150_026_a25_076,B,123,200,3245.0,3243.0,2.0,85.74,103.61,"[5.695, 7.3899, 5.8882]","[7.9238, 7.128, 5.0702, 3.8474]","[62, 80, 58]","[73, 57, 42, 28]","[74, 58, 68]","[56, 50, 59, 35]",148,129,,
B_n150_026_a25_076,B,456,200,3243.0,3246.0,-3.0,83.56,116.17,"[5.721, 7.2829, 5.6738]","[7.1192, 7.2087, 4.9798, 5.1868]","[53, 86, 61]","[57, 56, 42, 45]","[64, 66, 70]","[49, 48, 58, 45]",156,142,,
B_n150_026_a25_076,B,789,200,3244.0,3208.0,36.0,101.92,115.25,"[5.3301, 7.4019, 4.4993]","[7.1709, 6.7762, 5.2585, 4.8018]","[67, 87, 46]","[63, 53, 47, 37]","[69, 71, 60]","[55, 43, 59, 43]",146,137,,
B_n150_026_a25_076,B,1337,200,3246.0,3235.0,11.0,95.89,101.46,"[5.3324, 7.4114, 6.3171]","[8.1475, 8.1461, 4.2947, 4.8851]","[59, 74, 67]","[50, 51, 41, 58]","[63, 63, 74]","[44, 49, 54, 53]",142,142,,
B_n150_026_a25_076,B,2024,200,3246.0,3245.0,1.0,93.53,79.92,"[4.3568, 7.176, 4.7837]","[6.4327, 7.6155, 4.0516, 3.3459]","[63, 76, 61]","[52, 57, 43, 48]","[65, 67, 68]","[45, 57, 37, 61]",142,148,,
B_n150_028_a25_082,B,42,200,3889.0,3890.0,-1.0,151.51,169.3,"[3.7575, 7.0167, 5.8493]","[7.3137, 6.3212, 4.7757, 3.1679]","[56, 79, 65]","[59, 58, 49, 34]","[69, 68, 63]","[43, 49, 58, 50]",148,126,,
B_n150_028_a25_082,B,123,200,3791.0,3792.0,-1.0,113.42,138.45,"[5.1538, 6.8231, 5.8467]","[7.4066, 6.6696, 3.9084, 3.3773]","[64, 68, 68]","[71, 48, 37, 44]","[62, 65, 73]","[53, 43, 50, 54]",144,123,,
B_n150_028_a25_082,B,456,200,3799.0,3889.0,-90.0,121.33,154.33,"[5.3682, 7.1878, 5.3828]","[7.3901, 6.7219, 4.0035, 5.1525]","[74, 61, 65]","[60, 57, 33, 50]","[59, 70, 71]","[41, 44, 57, 58]",135,129,,
B_n150_028_a25_082,B,789,200,3791.0,3792.0,-1.0,119.85,138.74,"[4.6825, 7.2281, 5.5393]","[7.0923, 6.7048, 5.4081, 4.9382]","[52, 84, 64]","[53, 57, 46, 44]","[61, 70, 69]","[46, 52, 55, 47]",147,128,,
B_n150_028_a25_082,B,1337,200,3788.0,3879.0,-91.0,112.01,128.42,"[5.08, 7.7071, 5.4163]","[7.2806, 7.2171, 5.1625, 4.0158]","[60, 75, 65]","[56, 61, 38, 45]","[63, 60, 77]","[48, 59, 46, 47]",139,131,,
B_n150_028_a25_082,B,2024,200,3800.0,3800.0,0.0,136.53,129.71,"[5.2574, 7.325, 5.5652]","[7.738, 6.6759, 5.6135, 4.1217]","[67, 78, 55]","[56, 52, 47, 45]","[78, 53, 69]","[61, 43, 46, 50]",138,126,,
C_n070_022_a50_065,C,42,200,2051.0,2052.0,-1.0,107.49,118.16,"[5.4539, 7.3722, 6.3591]","[7.0623, 7.076, 6.3528, 5.0402]","[61, 74, 65]","[64, 53, 42, 41]","[71, 61, 68]","[58, 45, 49, 48]",171,158,,
C_n070_022_a50_065,C,123,200,2052.0,2049.0,3.0,112.65,129.86,"[5.1823, 7.3795, 5.5166]","[6.9273, 7.5372, 4.9393, 4.4538]","[58, 78, 64]","[64, 50, 48, 38]","[63, 66, 71]","[58, 38, 59, 45]",150,145,,
C_n070_022_a50_065,C,456,200,2051.0,2051.0,0.0,103.21,125.2,"[4.9279, 7.5006, 6.1682]","[8.0888, 6.9547, 5.6575, 4.7606]","[47, 71, 82]","[57, 56, 38, 49]","[60, 65, 75]","[51, 49, 54, 46]",152,148,,
C_n070_022_a50_065,C,789,200,2049.0,2051.0,-2.0,117.4,108.53,"[5.372, 7.664, 5.8413]","[6.5542, 6.8356, 6.1477, 6.2314]","[57, 67, 76]","[55, 43, 50, 52]","[65, 67, 68]","[55, 54, 41, 50]",148,148,,
C_n070_022_a50_065,C,1337,200,2049.0,2048.0,1.0,119.64,126.69,"[6.0158, 7.7857, 6.1432]","[7.6154, 7.401, 5.7392, 5.3678]","[71, 71, 58]","[55, 64, 43, 38]","[78, 61, 61]","[55, 41, 51, 53]",160,138,,
C_n070_022_a50_065,C,2024,200,2051.0,2049.0,2.0,130.28,119.64,"[5.0309, 7.7004, 6.3447]","[7.5713, 6.5009, 5.9564, 5.9963]","[61, 77, 62]","[61, 44, 52, 43]","[73, 62, 65]","[54, 41, 51, 54]",156,151,,
C_n070_023_a25_067,C,42,200,1628.0,1628.0,0.0,61.02,57.22,"[5.394, 7.3303, 6.0893]","[6.6716, 6.8575, 5.9689, 6.1317]","[63, 71, 66]","[47, 47, 57, 49]","[70, 60, 70]","[49, 47, 52, 52]",157,147,,
C_n070_023_a25_067,C,123,200,1628.0,1628.0,0.0,55.7,58.48,"[5.6581, 7.0467, 6.6832]","[7.2304, 7.0053, 6.088, 6.0502]","[58, 75, 67]","[61, 50, 51, 38]","[65, 65, 70]","[54, 48, 53, 45]",173,165,,
C_n070_023_a25_067,C,456,200,1628.0,1618.0,10.0,49.31,49.12,"[6.3182, 6.9087, 6.2342]","[6.912, 7.0973, 6.4972, 5.3805]","[56, 84, 60]","[56, 48, 51, 45]","[63, 77, 60]","[56, 47, 52, 45]",171,166,,
C_n070_023_a25_067,C,789,200,1627.0,1628.0,-1.0,50.11,57.29,"[6.1966, 6.9008, 6.653]","[7.496, 6.9249, 5.2933, 6.1582]","[62, 78, 60]","[47, 57, 42, 54]","[63, 79, 58]","[45, 50, 53, 52]",174,174,,
C_n070_023_a25_067,C,1337,200,1628.0,1628.0,0.0,57.84,49.28,"[6.3147, 7.2736, 6.3516]","[7.7546, 6.7266, 6.0638, 5.9912]","[72, 73, 55]","[64, 49, 47, 40]","[64, 65, 71]","[46, 59, 41, 54]",166,163,,
C_n070_023_a25_067,C,2024,200,1628.0,1628.0,0.0,54.68,56.96,"[5.5316, 7.2746, 6.0179]","[7.3913, 7.0, 4.7942, 6.2787]","[73, 72, 55]","[44, 57, 46, 53]","[64, 67, 69]","[43, 46, 52, 59]",162,152,,
D_n055_019_a25_055,D,42,200,1147.0,1147.0,0.0,58.57,59.58,"[5.9601, 7.1822, 6.519]","[7.2993, 6.9542, 5.9194, 6.1496]","[50, 81, 69]","[50, 56, 53, 41]","[63, 71, 66]","[47, 58, 47, 48]",169,163,,
D_n055_019_a25_055,D,123,200,1147.0,1147.0,0.0,62.56,60.01,"[6.2958, 7.045, 6.3386]","[7.2073, 6.8981, 5.5313, 6.2027]","[77, 59, 64]","[48, 51, 48, 53]","[68, 55, 77]","[64, 43, 46, 47]",170,168,,
D_n055_019_a25_055,D,456,200,1147.0,1147.0,0.0,51.57,54.96,"[6.3309, 7.0509, 6.334]","[7.08, 6.9338, 5.9916, 5.7412]","[67, 77, 56]","[57, 58, 37, 48]","[72, 72, 56]","[53, 52, 48, 47]",179,176,,
D_n055_019_a25_055,D,789,200,1147.0,1147.0,0.0,59.52,62.31,"[5.9303, 7.1136, 6.4557]","[6.856, 6.726, 6.7983, 5.4713]","[70, 68, 62]","[54, 57, 44, 45]","[76, 64, 60]","[44, 49, 56, 51]",171,176,,
D_n055_019_a25_055,D,1337,200,1147.0,1147.0,0.0,46.97,48.84,"[6.5345, 6.856, 6.4138]","[7.3283, 6.9219, 5.1148, 6.3444]","[65, 60, 75]","[59, 61, 33, 47]","[66, 58, 76]","[61, 50, 41, 48]",172,173,,
D_n055_019_a25_055,D,2024,200,1147.0,1147.0,0.0,57.84,62.48,"[6.9439, 6.9962, 6.1021]","[7.2594, 6.7074, 6.7414, 5.7689]","[79, 58, 63]","[66, 46, 46, 42]","[76, 56, 68]","[52, 53, 52, 43]",168,169,,
D_n060_022_a50_065,D,42,200,1777.0,1777.0,0.0,316.56,331.38,"[4.5791, 7.1322, 6.3577]","[6.4539, 7.3219, 5.5459, 5.1022]","[47, 78, 75]","[48, 67, 44, 41]","[59, 72, 69]","[54, 55, 43, 48]",159,148,,
D_n060_022_a50_065,D,123,200,1765.0,1765.0,0.0,362.41,368.43,"[5.1078, 7.0352, 5.9716]","[6.8076, 6.9787, 5.3783, 5.3089]","[61, 74, 65]","[58, 48, 52, 42]","[81, 70, 49]","[43, 52, 56, 49]",154,130,,
D_n060_022_a50_065,D,456,200,1777.0,1776.0,1.0,313.89,330.65,"[4.8724, 7.3447, 6.6759]","[7.1295, 7.1735, 4.991, 4.9977]","[62, 75, 63]","[62, 53, 36, 49]","[74, 64, 62]","[49, 59, 48, 44]",144,141,,
D_n060_022_a50_065,D,789,200,1776.0,1777.0,-1.0,346.96,359.63,"[5.1714, 7.6463, 6.2193]","[7.4905, 8.0067, 6.2518, 3.4309]","[67, 69, 64]","[62, 51, 49, 38]","[64, 69, 67]","[47, 40, 56, 57]",147,136,,
D_n060_022_a50_065,D,1337,200,1777.0,1768.0,9.0,296.18,333.4,"[4.9239, 7.1552, 5.594]","[7.2133, 6.5528, 3.5898, 5.5751]","[73, 69, 58]","[54, 50, 34, 62]","[61, 60, 79]","[46, 45, 49, 60]",144,135,,
D_n060_022_a50_065,D,2024,200,1767.0,1777.0,-10.0,348.91,319.88,"[5.7831, 7.4446, 6.1389]","[7.2882, 6.8917, 5.2888, 5.9497]","[70, 63, 67]","[59, 60, 48, 33]","[61, 67, 72]","[55, 55, 43, 47]",149,137,,
D_n065_027_a50_080,D,42,200,1787.0,1778.0,9.0,410.28,409.36,"[4.4232, 7.6016, 6.3793]","[7.5384, 6.9689, 5.3094, 4.7107]","[56, 76, 68]","[60, 53, 47, 40]","[61, 70, 69]","[55, 43, 50, 52]",153,152,,
D_n065_027_a50_080,D,123,200,1787.0,1787.0,0.0,381.52,399.11,"[5.1293, 6.9818, 5.4229]","[7.0875, 6.8761, 4.4442, 3.7707]","[52, 80, 68]","[75, 54, 39, 32]","[62, 67, 71]","[61, 49, 45, 45]",156,146,,
D_n065_027_a50_080,D,456,200,1787.0,1788.0,-1.0,409.08,418.52,"[6.4769, 7.4091, 6.1647]","[7.9074, 7.5762, 5.9514, 5.0395]","[57, 80, 63]","[53, 66, 49, 32]","[62, 69, 69]","[48, 53, 53, 46]",156,133,,
D_n065_027_a50_080,D,789,200,1788.0,1787.0,1.0,413.88,410.17,"[5.7572, 7.3481, 6.3691]","[7.5872, 7.0853, 6.2973, 5.184]","[58, 88, 54]","[53, 56, 47, 44]","[61, 79, 60]","[54, 48, 48, 50]",151,151,,
D_n065_027_a50_080,D,1337,200,1788.0,1788.0,0.0,383.56,414.97,"[5.9261, 7.0897, 5.5116]","[7.2387, 6.8449, 5.1356, 5.5302]","[62, 69, 69]","[58, 49, 45, 48]","[67, 64, 69]","[54, 44, 50, 52]",153,154,,
