family,instance,arm_id,best_ub,warm_mu,obj,cert_gap_pct,stop_reason,phases,ec_gain,total_rt_s,error
EC,EC_n060_011_a50_032,A1,1662.0000,0,1662.0,0.000000,UB,1,0,97.4,
EC,EC_n060_011_a50_032,A2,1662.0000,0,1662.0,0.000000,UB,1,0,51.2,
EC,EC_n060_011_a50_032,A3,1662.0000,0,1662.0,0.000000,UB,1,0,51.7,
EC,EC_n060_011_a50_032,A4,1662.0000,0,1662.0,0.000000,UB,1,0,51.6,
EC,EC_n060_011_a50_032,A5,1662.0000,0,1662.0,0.000000,UB,1,0,51.3,
EC,EC_n065_016_a75_048,A1,1922.0000,0,1921.0,0.052029,GAP<threshold,1,0,306.1,
EC,EC_n065_016_a75_048,A2,1922.0000,0,1921.0,0.052029,GAP<threshold,1,0,307.1,
EC,EC_n065_016_a75_048,A3,1922.0000,0,1921.0,0.052029,GAP<threshold,1,0,306.8,
EC,EC_n065_016_a75_048,A4,1922.0000,0,1921.0,0.052029,GAP<threshold,1,0,312.0,
EC,EC_n065_016_a75_048,A5,1922.0000,0,1921.0,0.052029,GAP<threshold,1,0,317.3,
EC,EC_n070_021_a25_061,A1,869.0000,0,868.0,0.115075,GAP<threshold,1,0,301.7,
EC,EC_n070_021_a25_061,A2,869.0000,0,868.0,0.115075,GAP<threshold,1,0,301.8,
EC,EC_n070_021_a25_061,A3,869.0000,0,868.0,0.115075,GAP<threshold,1,0,300.6,
EC,EC_n070_021_a25_061,A4,869.0000,0,868.0,0.115075,GAP<threshold,1,0,301.3,
EC,EC_n070_021_a25_061,A5,869.0000,0,868.0,0.115075,GAP<threshold,1,0,301.0,
EC,EC_n080_031_a50_092,A1,2181.0000,0,2178.0,0.137552,GAP<threshold,1,0,318.9,
EC,EC_n080_031_a50_092,A2,2181.0000,0,2180.0,0.045851,GAP<threshold,1,0,318.5,
EC,EC_n080_031_a50_092,A3,2181.0000,0,2180.0,0.045851,GAP<threshold,1,0,317.2,
EC,EC_n080_031_a50_092,A4,2181.0000,0,2180.0,0.045851,GAP<threshold,1,0,317.4,
EC,EC_n080_031_a50_092,A5,2181.0000,0,2180.0,0.045851,GAP<threshold,1,0,322.9,
ED,ED_n040_001_a25_001,A1,412.0000,0,412.0,0.000000,UB,1,0,0.1,
ED,ED_n040_001_a25_001,A2,412.0000,0,412.0,0.000000,UB,1,0,0.1,
ED,ED_n040_001_a25_001,A3,412.0000,0,412.0,0.000000,UB,1,0,0.1,
