instance,family,incumbent,greedy,init_ub,init_raw,init_iters,refined_ub,refined_raw,refine_iters,refine_converged,final_ub,binding,final_gap_pct,cert_path,solve_s,error
EC_n080_033_a50_098,EC,2646.0,2623.0,2676,2676.200382,200,2646,2646.000004,3000,0,2646,refined,0.0,results/certificates/EC_n080_033_a50_098.pkl,68.6,
EC_n080_033_a75_099,EC,2802.0,2801.0,2802,2802.141803,200,2802,2802.0,3000,0,2802,initial,0.0,results/certificates/EC_n080_033_a75_099.pkl,129.6,
EC_n080_034_a25_100,EC,1858.0,1556.0,1865,1865.666667,200,1858,1858.0,3000,0,1858,refined,0.0,results/certificates/EC_n080_034_a25_100.pkl,43.5,
EC_n080_034_a50_101,EC,3174.0,3051.0,3184,3184.253886,200,3175,3175.024986,3000,0,3175,refined,0.031496062992125984,results/certificates/EC_n080_034_a50_101.pkl,33.3,
EC_n080_034_a75_102,EC,3424.0,3419.0,3424,3424.238439,200,3424,3424.0,3000,0,3424,initial,0.0,results/certificates/EC_n080_034_a75_102.pkl,40.5,
EC_n080_035_a25_103,EC,1585.0,1584.0,1594,1594.918221,200,1589,1589.108315,3000,0,1589,refined,0.25173064820641916,results/certificates/EC_n080_035_a25_103.pkl,32.9,
EC_n080_035_a50_104,EC,2667.0,2665.0,2694,2694.174637,200,2676,2676.260926,3000,0,2676,refined,0.336322869955157,results/certificates/EC_n080_035_a50_104.pkl,43.6,
EC_n080_035_a75_105,EC,2932.0,2919.0,2935,2935.91445,200,2932,2932.0,3000,0,2932,refined,0.0,results/certificates/EC_n080_035_a75_105.pkl,45.0,
ED_n040_001_a25_001,ED,412.0,412.0,412,412.0,71,412,412.0,71,1,412,initial,0.0,results/certificates/ED_n040_001_a25_001.pkl,0.3,
ED_n040_001_a50_002,ED,948.0,947.0,948,948.487822,200,948,948.0,3000,0,948,initial,0.0,results/certificates/ED_n040_001_a50_002.pkl,6.1,
ED_n040_001_a75_003,ED,1201.0,1200.0,1201,1201.120308,200,1201,1201.0,3000,0,1201,initial,0.0,results/certificates/ED_n040_001_a75_003.pkl,7.5,
ED_n040_002_a25_004,ED,212.0,212.0,212,212.0,33,212,212.0,33,1,212,initial,0.0,results/certificates/ED_n040_002_a25_004.pkl,0.1,
ED_n040_002_a50_005,ED,772.0,761.0,780,780.15966,200,772,772.0,3000,0,772,refined,0.0,results/certificates/ED_n040_002_a50_005.pkl,4.5,
ED_n040_002_a75_006,ED,1026.0,927.0,1040,1040.364173,200,1026,1026.0,3000,0,1026,refined,0.0,results/certificates/ED_n040_002_a75_006.pkl,4.9,
ED_n040_003_a25_007,ED,352.0,342.0,353,353.154556,200,352,352.0,3000,0,352,refined,0.0,results/certificates/ED_n040_003_a25_007.pkl,6.2,
ED_n040_003_a50_008,ED,994.0,994.0,994,994.380347,200,994,994.0,3000,0,994,initial,0.0,results/certificates/ED_n040_003_a50_008.pkl,6.1,
ED_n040_003_a75_009,ED,1138.0,1128.0,1140,1140.494767,200,1138,1138.0,3000,0,1138,refined,0.0,results/certificates/ED_n040_003_a75_009.pkl,6.0,
ED_n040_004_a25_010,ED,422.0,422.0,422,422.0,200,422,422.0,3000,0,422,initial,0.0,results/certificates/ED_n040_004_a25_010.pkl,7.4,
ED_n040_004_a50_011,ED,1154.0,1144.0,1167,1167.979178,200,1164,1164.241432,3000,0,1164,refined,0.859106529209622,results/certificates/ED_n040_004_a50_011.pkl,5.3,
ED_n040_004_a75_012,ED,1526.0,1515.0,1526,1526.0,73,1526,1526.0,29,1,1526,initial,0.0,results/certificates/ED_n040_004_a75_012.pkl,0.3,
ED_n040_005_a25_013,ED,445.0,435.0,449,449.277497,200,445,445.0,3000,0,445,refined,0.0,results/certificates/ED_n040_005_a25_013.pkl,6.5,
ED_n040_005_a50_014,ED,1161.0,1149.0,1174,1174.22038,200,1161,1161.0,3000,0,1161,refined,0.0,results/certificates/ED_n040_005_a50_014.pkl,6.0,
ED_n040_005_a75_015,ED,1466.0,1465.0,1466,1466.289848,200,1466,1466.0,3000,0,1466,initial,0.0,results/certificates/ED_n040_005_a75_015.pkl,6.4,
ED_n045_006_a25_016,ED,523.0,523.0,523,523.0,77,523,523.0,77,1,523,initial,0.0,results/certificates/ED_n045_006_a25_016.pkl,0.7,
ED_n045_006_a50_017,ED,1099.0,1087.0,1099,1099.562855,200,1099,1099.0,3000,0,1099,initial,0.0,results/certificates/ED_n045_006_a50_017.pkl,14.9,
ED_n045_006_a75_018,ED,1244.0,1243.0,1244,1244.030915,200,1244,1244.0,3000,0,1244,initial,0.0,results/certificates/ED_n045_006_a75_018.pkl,15.3,
