instance,family,n,alpha,group_id,bks,alns_obj,alns_runtime_s,lb1_ub,lb1_cert_pct,lb1_ub_runtime_s,lb2_ub,lb2_cert_pct,lb2_runtime_s,best_ub,final_cert_gap_pct,alns_lag_proven_optimal,alns_lag_cert_tier,bks_gap_pct,alns_status,bpc_oa_gap_pct,bpc_n_solved,bpc_group_count,bpc_class,bpc_class_label,bpc_note
B_n110_007_a75_021,B,110,0.75,007,3780,3780,1189.0,3780.0,-0.0,1.0,NA,NA,NA,3780.0,0.0,True,exact,+0.00%,TIE,0.0,5,5,1,optimal,
B_n110_008_a25_022,B,110,0.25,008,2531,2531,664.0,2583.9,2.05,2.8,2536.0,0.2,10.6,2536.0,0.197161,False,<0.5%,+0.00%,TIE,0.0,4,5,1,optimal,WARNING: bpc_n_solved=4 < group_count=5; 1 instance(s) may be Class 3 (no_incumbent)
B_n110_008_a50_023,B,110,0.5,008,3700,3700,825.0,3700.7,0.02,5.1,NA,NA,NA,3700.7,0.018915,False,<0.5%,+0.00%,TIE,0.0,5,5,1,optimal,
B_n110_008_a75_024,B,110,0.75,008,3808,3808,1092.0,3808.1,0.0,5.3,NA,NA,NA,3808.1,0.002626,True,exact,+0.00%,TIE,0.0,5,5,1,optimal,
B_n110_009_a25_025,B,110,0.25,009,3221,3221,568.0,3288.8,2.06,3.2,3226.8,0.18,7.7,3226.8,0.179745,False,<0.5%,+0.00%,TIE,0.0,4,5,1,optimal,WARNING: bpc_n_solved=4 < group_count=5; 1 instance(s) may be Class 3 (no_incumbent)
B_n110_009_a50_026,B,110,0.5,009,4524,4524,779.0,4558.0,0.75,3.0,NA,NA,NA,4558.0,0.745941,False,0.5-1%,+0.00%,TIE,0.0,5,5,1,optimal,
B_n110_009_a75_027,B,110,0.75,009,4696,4696,1204.0,4696.0,0.0,4.4,NA,NA,NA,4696.0,0.0,True,exact,+0.00%,TIE,0.0,5,5,1,optimal,
B_n110_010_a25_028,B,110,0.25,010,2549,2549,459.0,2572.5,0.91,2.6,NA,NA,NA,2572.5,0.913508,False,0.5-1%,+0.00%,TIE,0.0,4,5,1,optimal,WARNING: bpc_n_solved=4 < group_count=5; 1 instance(s) may be Class 3 (no_incumbent)
B_n110_010_a50_029,B,110,0.5,010,3674,3674,962.0,3702.2,0.76,3.5,NA,NA,NA,3702.2,0.761709,False,0.5-1%,+0.00%,TIE,0.0,5,5,1,optimal,
B_n110_010_a75_030,B,110,0.75,010,3853,3853,1233.0,3853.0,0.0,3.7,NA,NA,NA,3853.0,0.0,True,exact,+0.00%,TIE,0.0,5,5,1,optimal,
B_n120_011_a25_031,B,120,0.25,011,2526,2526,560.0,2654.1,4.83,27.2,2572.2,1.79,90.4,2572.2,1.796128,False,1-2%,+0.00%,TIE,0.07,4,5,2,incumbent,WARNING: bpc_n_solved=4 < group_count=5; 1 instance(s) may be Class 3 (no_incumbent)
B_n120_011_a50_032,B,120,0.5,011,3899,3898,917.0,3948.1,1.27,38.8,NA,NA,NA,3948.1,1.268965,False,1-2%,+0.03%,GAP,0.0,5,5,1,optimal,
B_n120_011_a75_033,B,120,0.75,011,4074,4074,740.0,4074.4,0.01,26.0,NA,NA,NA,4074.4,0.009817,False,<0.5%,+0.00%,TIE,0.0,5,5,1,optimal,
B_n120_012_a25_034,B,120,0.25,012,2871,2871,633.0,2952.6,2.76,15.7,2885.0,0.48,41.2,2885.0,0.485269,False,<0.5%,+0.00%,TIE,0.07,4,5,2,incumbent,WARNING: bpc_n_solved=4 < group_count=5; 1 instance(s) may be Class 3 (no_incumbent)
B_n120_012_a50_035,B,120,0.5,012,4182,4182,1455.0,4182.5,0.01,13.3,NA,NA,NA,4182.5,0.011955,False,<0.5%,+0.00%,TIE,0.0,5,5,1,optimal,
B_n120_012_a75_036,B,120,0.75,012,4222,4222,915.0,4222.0,0.0,13.1,NA,NA,NA,4222.0,0.0,True,exact,+0.00%,TIE,0.0,5,5,1,optimal,
B_n120_013_a25_037,B,120,0.25,013,2942,2942,665.0,2989.8,1.6,6.5,NA,NA,NA,2989.8,1.598769,False,1-2%,+0.00%,TIE,0.07,4,5,2,incumbent,WARNING: bpc_n_solved=4 < group_count=5; 1 instance(s) may be Class 3 (no_incumbent)
B_n120_013_a50_038,B,120,0.5,013,4064,4063,927.0,4065.7,0.07,5.9,NA,NA,NA,4065.7,0.066409,False,<0.5%,+0.02%,GAP,0.0,5,5,1,optimal,
B_n120_013_a75_039,B,120,0.75,013,4147,4147,611.0,4147.5,0.01,4.6,NA,NA,NA,4147.5,0.012055,False,<0.5%,+0.00%,TIE,0.0,5,5,1,optimal,
B_n120_014_a25_040,B,120,0.25,014,3242,3242,586.0,3401.5,4.69,6.5,3294.1,1.58,18.8,3294.1,1.581616,False,1-2%,+0.00%,TIE,0.07,4,5,2,incumbent,WARNING: bpc_n_solved=4 < group_count=5; 1 instance(s) may be Class 3 (no_incumbent)
B_n120_014_a50_041,B,120,0.5,014,4855,4845,1005.0,4855.6,0.22,6.5,NA,NA,NA,4855.6,0.218305,False,<0.5%,+0.21%,GAP,0.0,5,5,1,optimal,
B_n120_014_a75_042,B,120,0.75,014,5038,5038,610.0,5038.0,0.0,4.8,NA,NA,NA,5038.0,0.0,True,exact,+0.00%,TIE,0.0,5,5,1,optimal,
B_n120_015_a25_043,B,120,0.25,015,2579,2579,591.0,2635.6,2.15,4.8,2583.6,0.18,11.0,2583.6,0.178046,False,<0.5%,+0.00%,TIE,0.07,4,5,2,incumbent,WARNING: bpc_n_solved=4 < group_count=5; 1 instance(s) may be Class 3 (no_incumbent)
B_n120_015_a50_044,B,120,0.5,015,4004,4004,880.0,4004.0,0.0,4.4,NA,NA,NA,4004.0,0.0,True,exact,+0.00%,TIE,0.0,5,5,1,optimal,
B_n120_015_a75_045,B,120,0.75,015,4282,4282,614.0,4282.2,0.0,3.3,NA,NA,NA,4282.2,0.00467,True,exact,+0.00%,TIE,0.0,5,5,1,optimal,
B_n130_016_a25_046,B,130,0.25,016,2744,2744,311.0,2860.3,4.07,17.4,2796.0,1.86,102.6,2796.0,1.8598,False,1-2%,+0.00%,TIE,0.01,4,5,2,incumbent,WARNING: bpc_n_solved=4 < group_count=5; 1 instance(s) may be Class 3 (no_incumbent)
B_n130_016_a50_047,B,130,0.5,016,4157,4156,1708.0,4206.5,1.2,0.4,NA,NA,NA,4206.5,1.200523,False,1-2%,+0.02%,GAP,0.06,3,5,2,incumbent,WARNING: bpc_n_solved=3 < group_count=5; 2 instance(s) may be Class 3 (no_incumbent)
B_n130_016_a75_048,B,130,0.75,016,4216,4333,2327.0,4341.5,0.2,0.5,NA,NA,NA,4341.5,0.195785,False,<0.5%,-2.78%,BEAT,0.61,3,5,2,incumbent,WARNING: bpc_n_solved=3 < group_count=5; 2 instance(s) may be Class 3 (no_incumbent)
B_n130_017_a25_049,B,130,0.25,017,3062,3061,462.0,3128.3,2.15,21.2,3073.6,0.41,85.3,3073.6,0.409943,False,<0.5%,+0.03%,GAP,0.01,4,5,2,incumbent,WARNING: bpc_n_solved=4 < group_count=5; 1 instance(s) may be Class 3 (no_incumbent)
B_n130_017_a50_050,B,130,0.5,017,4594,4593,2085.0,4608.5,0.34,0.6,NA,NA,NA,4608.5,0.336335,False,<0.5%,+0.02%,GAP,0.06,3,5,2,incumbent,WARNING: bpc_n_solved=3 < group_count=5; 2 instance(s) may be Class 3 (no_incumbent)
B_n130_017_a75_051,B,130,0.75,017,4635,4646,3384.0,4646.0,0.0,0.6,NA,NA,NA,4646.0,0.0,True,exact,-0.24%,BEAT,0.61,3,5,2,incumbent,WARNING: bpc_n_solved=3 < group_count=5; 2 instance(s) may be Class 3 (no_incumbent)
B_n130_018_a25_052,B,130,0.25,018,3192,3192,477.0,3237.8,1.41,5.0,NA,NA,NA,3237.8,1.414541,False,1-2%,+0.00%,TIE,0.01,4,5,2,incumbent,WARNING: bpc_n_solved=4 < group_count=5; 1 instance(s) may be Class 3 (no_incumbent)
B_n130_018_a50_053,B,130,0.5,018,4497,4497,3322.0,4513.5,0.37,0.5,NA,NA,NA,4513.5,0.36557,False,<0.5%,+0.00%,TIE,0.06,3,5,2,incumbent,WARNING: bpc_n_solved=3 < group_count=5; 2 instance(s) may be Class 3 (no_incumbent)
B_n130_018_a75_054,B,130,0.75,018,4578,4577,2986.0,4584.0,0.15,0.3,NA,NA,NA,4584.0,0.152705,False,<0.5%,+0.02%,GAP,0.61,3,5,2,incumbent,WARNING: bpc_n_solved=3 < group_count=5; 2 instance(s) may be Class 3 (no_incumbent)
B_n130_019_a25_055,B,130,0.25,019,3359,3359,401.0,3489.5,3.74,4.2,3410.9,1.52,21.7,3410.9,1.521593,False,1-2%,+0.00%,TIE,0.01,4,5,2,incumbent,WARNING: bpc_n_solved=4 < group_count=5; 1 instance(s) may be Class 3 (no_incumbent)
B_n130_019_a50_056,B,130,0.5,019,5093,5083,2670.0,5121.0,0.74,0.2,NA,NA,NA,5121.0,0.742043,False,0.5-1%,+0.20%,GAP,0.06,3,5,2,incumbent,WARNING: bpc_n_solved=3 < group_count=5; 2 instance(s) may be Class 3 (no_incumbent)
B_n130_019_a75_057,B,130,0.75,019,5307,5307,1609.0,5309.0,0.04,0.2,NA,NA,NA,5309.0,0.037672,False,<0.5%,+0.00%,TIE,0.61,3,5,2,incumbent,WARNING: bpc_n_solved=3 < group_count=5; 2 instance(s) may be Class 3 (no_incumbent)
B_n130_020_a25_058,B,130,0.25,020,2680,2680,827.0,2774.4,3.4,4.6,2690.3,0.38,18.8,2690.3,0.382857,False,<0.5%,+0.00%,TIE,0.01,4,5,2,incumbent,WARNING: bpc_n_solved=4 < group_count=5; 1 instance(s) may be Class 3 (no_incumbent)
B_n130_020_a50_059,B,130,0.5,020,4294,4306,1880.0,4327.0,0.49,0.1,NA,NA,NA,4327.0,0.485325,False,<0.5%,-0.28%,BEAT,0.06,3,5,2,incumbent,WARNING: bpc_n_solved=3 < group_count=5; 2 instance(s) may be Class 3 (no_incumbent)
