instance_id,family,n,budget_level,seed_set,best_primal_profit,lagrangian_upper_bound_raw,lagrangian_upper_bound_reported,certificate_gap_percent,stop_reason,runtime_seconds,proven_optimal_by_lagrangian_match,matches_bpc_optimum,improves_published_bks,published_bks
C_n075_027_a75_081,C,75,0.75,42;123;456;789;1337;2024,2232.0,2232.0,2232.0,0.0,GAP<0.3%,302.8,True,False,False,
C_n075_028_a25_082,C,75,0.25,42;123;456;789;1337;2024,1829.0,1834.0,1834.0,0.2734,GAP<0.3%,902.7,False,False,False,
C_n075_028_a50_083,C,75,0.5,42;123;456;789;1337;2024,2538.0,2538.0,2538.0,0.0,GAP<0.3%,303.6,True,False,False,
C_n075_028_a75_084,C,75,0.75,42;123;456;789;1337;2024,2582.0,2582.0,2582.0,0.0,GAP<0.3%,304.3,True,False,False,
C_n075_029_a25_085,C,75,0.25,42;123;456;789;1337;2024,2168.0,2172.0,2172.0,0.1845,GAP<0.3%,600.8,False,False,False,
C_n075_029_a50_086,C,75,0.5,42;123;456;789;1337;2024,3004.0,3013.0,3013.0,0.2996,GAP<0.3%,303.8,False,False,False,
C_n075_029_a75_087,C,75,0.75,42;123;456;789;1337;2024,3223.0,3223.0,3223.0,0.0,UB,0.7,True,False,False,
C_n075_030_a25_088,C,75,0.25,42;123;456;789;1337;2024,1777.0,1777.0,1777.0,0.0,UB,0.4,True,False,False,
C_n075_030_a50_089,C,75,0.5,42;123;456;789;1337;2024,2568.0,2572.0,2572.0,0.1558,GAP<0.3%,603.5,False,False,False,
C_n075_030_a75_090,C,75,0.75,42;123;456;789;1337;2024,2722.0,2722.0,2722.0,0.0,GAP<0.3%,303.8,True,False,False,
