instance,family,n,alpha,group_id,bks,bpc_oa_gap_pct,bpc_n_solved,bpc_group_count,bpc_class,bpc_class_label,bpc_note,master_obj,master_cert_gap_pct,master_rt_s,master_status,alns_obj,alns_runtime_s,best_ub,final_cert_gap_pct,alns_lag_proven_optimal,beta_stop_reason,beta_phases,beta_ec_gain,beta_vs_bks,beta_status,beta_vs_master,baseline_ub,baseline_cert_gap_pct,refine_s,refined_source,selfseed_ub,selfseed_gap_pct,selfseed_refine_s
B_n140_025_a75_075,B,140,0.75,025,4941,NA,NA,5,4,not_reported,outside paper coverage,4940,0.111212,1414.0,GAP,4941.0,307.4,4941,0.0000,True,GAP<0.3%,1,0,0.0,TIE,1.0,4941,0.0000,,baseline,4941,0.0000,
B_n150_026_a25_076,B,150,0.25,026,?,NA,NA,5,4,not_reported,outside paper coverage,3246,1.895004,1580.0,NA,3246.0,1401.6,3296,1.5170,0,TIERS_EXHAUSTED,3,0,,NA,0.0,3307,1.8446,495.3,refined,3296,1.5170,
B_n150_026_a50_077,B,150,0.5,026,?,NA,NA,5,4,not_reported,outside paper coverage,4972,1.172729,2120.0,NA,4973.0,1323.2,4974,0.0201,0,GAP<0.3%,3,0,,NA,1.0,4982,0.1807,415.0,refined,4974,0.0201,
B_n150_026_a75_078,B,150,0.75,026,?,NA,NA,5,4,not_reported,outside paper coverage,5190,0.211498,2977.0,NA,5191.0,779.7,5193,0.0385,0,GAP<0.3%,1,0,,NA,1.0,5194,0.0578,472.6,refined,5193,0.0385,
B_n150_027_a25_079,B,150,0.25,027,?,NA,NA,5,4,not_reported,outside paper coverage,3500,0.542752,1062.0,NA,3500.0,1126.8,3500,0.0000,1,GAP<0.3%,3,0,,NA,0.0,3510,0.2849,221.5,refined,3500,0.0000,
B_n150_027_a50_080,B,150,0.5,027,?,NA,NA,5,4,not_reported,outside paper coverage,5274,0.929839,3996.0,NA,5275.0,868.6,5286,0.2081,0,GAP<0.3%,2,0,,NA,1.0,5288,0.2458,263.0,refined,5286,0.2081,
B_n150_027_a75_081,B,150,0.75,027,?,NA,NA,5,4,not_reported,outside paper coverage,5419,0.046113,3634.0,NA,5420.0,701.9,5421,0.0184,0,GAP<0.3%,1,0,,NA,1.0,5421,0.0184,399.5,refined,5421,0.0184,
B_n150_028_a25_082,B,150,0.25,028,?,NA,NA,5,4,not_reported,outside paper coverage,3888,1.954356,2536.0,NA,3890.0,1326.5,3893,0.0771,0,TIERS_EXHAUSTED,3,0,,NA,2.0,3907,0.4351,420.3,refined,3893,0.0771,
B_n150_028_a50_083,B,150,0.5,028,?,NA,NA,5,4,not_reported,outside paper coverage,5072,1.43801,3514.0,NA,5073.0,852.0,5077,0.0788,0,GAP<0.3%,2,0,,NA,1.0,5086,0.2556,246.3,refined,5077,0.0788,
B_n150_028_a75_084,B,150,0.75,028,?,NA,NA,5,4,not_reported,outside paper coverage,5330,0.13116,2901.0,NA,5330.0,303.1,5330,0.0000,True,GAP<0.3%,1,0,,NA,0.0,5330,0.0000,,baseline,5330,0.0000,
B_n150_029_a25_085,B,150,0.25,029,?,NA,NA,5,4,not_reported,outside paper coverage,4595,1.952417,2360.0,NA,4595.0,823.1,4599,0.0870,0,GAP<0.3%,2,0,,NA,0.0,4607,0.2605,215.9,refined,4599,0.0870,
B_n150_029_a50_086,B,150,0.5,029,?,NA,NA,5,4,not_reported,outside paper coverage,6099,0.343137,2477.0,NA,6102.0,305.6,6102,0.0000,True,GAP<0.3%,1,0,,NA,3.0,6102,0.0000,,baseline,6102,0.0000,
B_n150_029_a75_087,B,150,0.75,029,?,NA,NA,5,4,not_reported,outside paper coverage,6185,0.016166,3190.0,NA,6185.0,302.3,6185,0.0000,True,GAP<0.3%,1,0,,NA,0.0,6185,0.0000,,baseline,6185,0.0000,
B_n150_030_a25_088,B,150,0.25,030,?,NA,NA,5,4,not_reported,outside paper coverage,3550,1.279199,1609.0,NA,3550.0,730.2,3550,0.0000,1,GAP<0.3%,2,0,,NA,0.0,3553,0.0844,127.8,refined,3550,0.0000,
B_n150_030_a50_089,B,150,0.5,030,?,NA,NA,5,4,not_reported,outside paper coverage,4973,0.946121,1815.0,NA,4973.0,777.8,4974,0.0201,0,GAP<0.3%,2,0,,NA,0.0,4980,0.1406,171.9,refined,4974,0.0201,
B_n150_030_a75_090,B,150,0.75,030,?,NA,NA,5,4,not_reported,outside paper coverage,5280,0.122955,1795.0,NA,5281.0,481.3,5282,0.0189,0,GAP<0.3%,1,0,,NA,1.0,5286,0.0946,177.3,refined,5282,0.0189,
C_n050_001_a25_001,C,50,0.25,001,735,NA,NA,5,4,not_reported,outside paper coverage,735,0.433487,104.0,TIE,735.0,299.9,735,0.0000,True,GAP<0.3%,1,0,0.0,TIE,0.0,735,0.0000,,baseline,735,0.0000,
C_n050_001_a50_002,C,50,0.5,001,1236,NA,NA,5,4,not_reported,outside paper coverage,1236,0.04852,302.0,TIE,1236.0,0.1,1236,0.0000,True,UB,1,0,0.0,TIE,0.0,1236,0.0000,,baseline,1236,0.0000,
C_n050_001_a75_003,C,50,0.75,001,1445,NA,NA,5,4,not_reported,outside paper coverage,1445,0.103699,363.0,TIE,1445.0,300.7,1445,0.0000,True,GAP<0.3%,1,0,0.0,TIE,0.0,1445,0.0000,,baseline,1445,0.0000,
