instance,family,n,alpha,phase,tier,obj,ub,gap_pct,seeds,phase_rt,cumul_rt,event
B_n120_014_a25_040,B,120,0.25,1,1,3242.0,3294,1.5786278081360048,2,300.1845874999999,300.18463970000084,STALL→tier0→1 d_max=14
B_n120_014_a25_040,B,120,0.25,2,2,3242.0,3294,1.5786278081360048,2,300.4032651000016,600.5879476000009,STALL→tier1→2 d_max=18
B_n120_014_a25_040,B,120,0.25,3,3,3242.0,3294,1.5786278081360048,2,300.4695971000001,901.0575941000025,TIERS_EXHAUSTED
ED_n065_029_a25_085,ED,65,0.25,1,1,1343.0,1359,1.177336276674025,2,301.0351956000013,301.03521759999785,STALL→tier0→1 d_max=5
ED_n065_029_a25_085,ED,65,0.25,2,2,1343.0,1359,1.177336276674025,2,300.1435347000006,601.178780899998,STALL→tier1→2 d_max=6
ED_n065_029_a25_085,ED,65,0.25,3,3,1343.0,1359,1.177336276674025,2,300.6767228000026,901.8555358999984,TIERS_EXHAUSTED
B_n120_011_a25_031,B,120,0.25,1,1,2526.0,2572,1.7884914463452566,2,300.05453639999905,300.05456910000066,STALL→tier0→1 d_max=12
B_n120_011_a25_031,B,120,0.25,2,2,2526.0,2572,1.7884914463452566,2,300.92810819999795,600.9827114,STALL→tier1→2 d_max=17
B_n120_011_a25_031,B,120,0.25,3,3,2526.0,2572,1.7884914463452566,2,301.02969210000083,902.0124374000006,TIERS_EXHAUSTED
ED_n060_022_a75_066,ED,60,0.75,1,1,1944.0,1956,0.6134969325153374,1,300.43436700000166,300.4343893999976,STALL→tier0→1 d_max=13
ED_n060_022_a75_066,ED,60,0.75,2,2,1944.0,1956,0.6134969325153374,1,304.2578461999983,604.6922841999985,STALL→tier1→2 d_max=18
ED_n060_022_a75_066,ED,60,0.75,3,3,1944.0,1956,0.6134969325153374,1,300.00269110000227,904.6950026999984,TIERS_EXHAUSTED
EC_n070_023_a50_068,EC,70,0.5,1,1,2206.0,2218,0.5410279531109108,1,301.5998146999991,301.59986090000166,STALL→tier0→1 d_max=13
EC_n070_023_a50_068,EC,70,0.5,2,2,2206.0,2218,0.5410279531109108,1,301.32232229999863,602.9222320000008,STALL→tier1→2 d_max=18
EC_n070_023_a50_068,EC,70,0.5,3,3,2206.0,2218,0.5410279531109108,1,300.1086856000002,903.0309517000023,TIERS_EXHAUSTED
C_n070_023_a25_067,C,70,0.25,1,1,1628.0,1633,0.3061849357011635,2,300.98007099999813,300.9800943000009,STALL→tier0→1 d_max=8
C_n070_023_a25_067,C,70,0.25,2,2,1628.0,1633,0.3061849357011635,2,300.0657039000034,601.0458348000029,STALL→tier1→2 d_max=11
C_n070_023_a25_067,C,70,0.25,3,3,1628.0,1633,0.3061849357011635,2,300.2002285999988,901.2461314000029,TIERS_EXHAUSTED
D_n055_019_a25_055,D,55,0.25,1,1,1147.0,1161,1.2058570198105083,2,300.84785569999804,300.8479034999982,STALL→tier0→1 d_max=5
D_n055_019_a25_055,D,55,0.25,2,2,1147.0,1161,1.2058570198105083,2,300.2337292000011,601.0816789000019,STALL→tier1→2 d_max=7
D_n055_019_a25_055,D,55,0.25,3,3,1147.0,1161,1.2058570198105083,2,300.09731889999966,901.1790342000022,TIERS_EXHAUSTED
ED_n060_024_a25_070,ED,60,0.25,1,1,1253.0,1267,1.1049723756906076,3,300.8678663999963,300.86791489999814,STALL→tier0→1 d_max=5
ED_n060_024_a25_070,ED,60,0.25,2,2,1253.0,1267,1.1049723756906076,3,300.2146484000041,601.0826103000036,STALL→tier1→2 d_max=6
ED_n060_024_a25_070,ED,60,0.25,3,3,1253.0,1267,1.1049723756906076,3,300.2478151999967,901.3304768999988,TIERS_EXHAUSTED
ED_n065_028_a25_082,ED,65,0.25,1,1,1152.0,1157,0.432152117545376,2,300.06772920000367,300.0677585000012,STALL→tier0→1 d_max=4
ED_n065_028_a25_082,ED,65,0.25,2,2,1152.0,1157,0.432152117545376,2,300.6939693999957,600.7617901999984,STALL→tier1→2 d_max=6
ED_n065_028_a25_082,ED,65,0.25,3,3,1152.0,1157,0.432152117545376,3,300.2461298999988,901.0079651999986,TIERS_EXHAUSTED
EB_n120_014_a25_040,EB,120,0.25,1,1,2707.0,2730,0.8424908424908425,2,301.6920667000013,301.69209760000376,STALL→tier0→1 d_max=10
EB_n120_014_a25_040,EB,120,0.25,2,2,2707.0,2730,0.8424908424908425,2,300.73000760000286,602.4221631999972,STALL→tier1→2 d_max=14
EB_n120_014_a25_040,EB,120,0.25,3,3,2707.0,2730,0.8424908424908425,2,300.1140072999988,902.5362277000022,TIERS_EXHAUSTED
B_n130_017_a25_049,B,130,0.25,1,1,3062.0,3073,0.35795639440286364,1,301.36609399999725,301.36614759999793,STALL→tier0→1 d_max=16
B_n130_017_a25_049,B,130,0.25,2,2,3062.0,3073,0.35795639440286364,1,300.10171640000044,601.4678998000018,STALL→tier1→2 d_max=21
B_n130_017_a25_049,B,130,0.25,3,3,3062.0,3073,0.35795639440286364,1,304.3694528999986,905.8373873000019,TIERS_EXHAUSTED
D_n065_030_a25_088,D,65,0.25,1,1,1698.0,1711,0.7597895967270601,1,303.46506250000675,303.465108599994,STALL→tier0→1 d_max=8
D_n065_030_a25_088,D,65,0.25,2,2,1698.0,1711,0.7597895967270601,1,300.8987516999987,604.3696020999996,STALL→tier1→2 d_max=11
D_n065_030_a25_088,D,65,0.25,3,3,1698.0,1711,0.7597895967270601,1,300.5808799000006,904.9505207999973,TIERS_EXHAUSTED
EC_n075_030_a50_089,EC,75,0.5,1,1,2456.0,2466,0.40551500405515,1,300.1121018000049,300.11214619999373,STALL→tier0→1 d_max=13
