instance,family,mode,csv_obj,primal_obj,csv_obj_match,csv_ub,recomputed_ub,lagrangian_value,csv_gap_pct,recomputed_gap_pct,pass_primal,pass_bound,pass_ub_match,pass_gap,pass_all,note
C_n065_016_a50_047,C,rederive,1863.0,1863.0,match,1863.0,1863,1863.1415,0.0,0.0,True,True,,,True,
C_n065_016_a75_048,C,rederive,1924.0,1924.0,match,1924.0,1924,1924.0,0.0,0.0,True,True,,,True,
C_n065_017_a25_049,C,rederive,1302.0,1302.0,match,1303.0,1304,1304.7407,0.0767,0.1534,True,True,,,True,
C_n065_017_a50_050,C,rederive,1930.0,1930.0,match,1930.0,1930,1930.5635,0.0,0.0,True,True,,,True,
C_n065_017_a75_051,C,rederive,1971.0,1971.0,match,1971.0,1970,1971.0,0.0,-0.0508,True,True,,,True,
C_n065_018_a25_052,C,rederive,1386.0,1386.0,match,1386.0,1386,1386.3109,0.0,0.0,True,True,,,True,
C_n065_018_a50_053,C,rederive,1905.0,1905.0,match,1908.0,1913,1913.1719,0.1572,0.4182,True,True,,,True,
C_n065_018_a75_054,C,rederive,2146.0,2146.0,match,2146.0,2146,2146.0,0.0,0.0,True,True,,,True,
C_n065_019_a25_055,C,rederive,1864.0,1864.0,match,1864.0,1865,1865.8648,0.0,0.0536,True,True,,,True,
C_n065_019_a50_056,C,rederive,2464.0,2464.0,match,2465.0,2464,2464.0691,0.0406,0.0,True,True,,,True,
C_n065_019_a75_057,C,rederive,2600.0,2600.0,match,2600.0,2600,2600.0,0.0,0.0,True,True,,,True,
C_n065_020_a25_058,C,rederive,1566.0,1566.0,match,1568.0,1566,1566.4447,0.1276,0.0,True,True,,,True,
C_n065_020_a50_059,C,rederive,2323.0,2323.0,match,2325.0,2328,2328.6268,0.086,0.2148,True,True,,,True,
C_n065_020_a75_060,C,rederive,2489.0,2489.0,match,2489.0,2489,2489.0,0.0,0.0,True,True,,,True,
C_n070_021_a25_061,C,rederive,1314.0,1314.0,match,1317.0,1320,1320.5411,0.2278,0.4545,True,True,,,True,
C_n070_021_a50_062,C,rederive,1964.0,1964.0,match,1965.0,1964,1964.4208,0.0509,0.0,True,True,,,True,
C_n070_021_a75_063,C,rederive,2035.0,2035.0,match,2035.0,2035,2035.0001,0.0,0.0,True,True,,,True,
C_n070_022_a25_064,C,rederive,1413.0,1413.0,match,1415.0,1424,1424.6297,0.1413,0.7725,True,True,,,True,
C_n070_022_a50_065,C,rederive,2052.0,2052.0,match,2060.0,2061,2061.0295,0.3883,0.4367,True,True,,,True,
C_n070_022_a75_066,C,rederive,2102.0,2102.0,match,2102.0,2101,2102.0,0.0,-0.0476,True,True,,,True,
C_n070_023_a25_067,C,rederive,1628.0,1628.0,match,1633.0,1633,1633.9661,0.3062,0.3062,True,True,,,True,
C_n070_023_a50_068,C,rederive,2305.0,2305.0,match,2305.0,2305,2305.6165,0.0,0.0,True,True,,,True,
C_n070_023_a75_069,C,rederive,2359.0,2359.0,match,2359.0,2359,2359.0,0.0,0.0,True,True,,,True,
C_n070_024_a25_070,C,rederive,2046.0,2046.0,match,2046.0,2048,2048.3896,0.0,0.0977,True,True,,,True,
C_n070_024_a50_071,C,rederive,2863.0,2863.0,match,2863.0,2863,2863.011,0.0,0.0,True,True,,,True,
C_n070_024_a75_072,C,rederive,3009.0,3009.0,match,3009.0,3009,3009.0,0.0,0.0,True,True,,,True,
C_n070_025_a25_073,C,rederive,1680.0,1680.0,match,1681.0,1685,1685.0867,0.0595,0.2967,True,True,,,True,
C_n070_025_a50_074,C,rederive,2449.0,2449.0,match,2451.0,2463,2463.9395,0.0816,0.5684,True,True,,,True,
C_n070_025_a75_075,C,rederive,2601.0,2601.0,match,2601.0,2601,2601.0,0.0,0.0,True,True,,,True,
C_n075_026_a25_076,C,rederive,1316.0,1316.0,match,1317.0,1323,1323.8074,0.0759,0.5291,True,True,,,True,
C_n075_026_a50_077,C,rederive,1977.0,1977.0,match,1978.0,1977,1977.3906,0.0506,0.0,True,True,,,True,
C_n075_026_a75_078,C,rederive,2055.0,2055.0,match,2055.0,2055,2055.0,0.0,0.0,True,True,,,True,
C_n075_027_a25_079,C,rederive,1618.0,1618.0,match,1618.0,1621,1621.0023,0.0,0.1851,True,True,,,True,
C_n075_027_a50_080,C,rederive,2184.0,2184.0,match,2185.0,2185,2185.7159,0.0458,0.0458,True,True,,,True,
C_n075_027_a75_081,C,rederive,2232.0,2232.0,match,2232.0,2232,2232.0,0.0,0.0,True,True,,,True,
C_n075_028_a25_082,C,rederive,1829.0,1829.0,match,1834.0,1836,1836.6466,0.2726,0.3813,True,True,,,True,
C_n075_028_a50_083,C,rederive,2538.0,2538.0,match,2538.0,2538,2538.0016,0.0,0.0,True,True,,,True,
C_n075_028_a75_084,C,rederive,2582.0,2582.0,match,2582.0,2582,2582.0,0.0,0.0,True,True,,,True,
