instance,family,n,alpha,phase,tier,obj,ub,gap_pct,seeds,phase_rt,cumul_rt,event
ED_n060_022_a50_065,ED,60,0.5,1,1,1737.0,1770,1.864406779661017,1,300.41536300000007,300.41539940000075,STALL→tier0→1 d_max=9
ED_n060_022_a50_065,ED,60,0.5,2,2,1737.0,1768,1.753393665158371,1,303.98232369999823,609.0648359000006,STALL→tier1→2 d_max=12
ED_n060_022_a50_065,ED,60,0.5,3,3,1737.0,1766,1.6421291053227631,1,309.292064199999,924.281793099999,TIERS_EXHAUSTED
EC_n080_033_a25_097,EC,80,0.25,1,1,1806.0,1823,0.9325287986834888,2,301.38946120000037,301.38949539999885,STALL→tier0→1 d_max=8
EC_n080_033_a25_097,EC,80,0.25,2,2,1806.0,1814,0.4410143329658214,2,302.2798287000005,616.4911118999989,STALL→tier1→2 d_max=11
EC_n080_033_a25_097,EC,80,0.25,3,3,1806.0,1812,0.33112582781456956,2,300.20956039999874,932.3382970999992,TIERS_EXHAUSTED
ED_n050_014_a50_041,ED,50,0.5,1,1,1787.0,1799,0.6670372429127293,1,300.0678630000002,300.06789539999954,STALL→tier0→1 d_max=8
ED_n050_014_a50_041,ED,50,0.5,2,2,1787.0,1797,0.5564830272676683,1,302.6702007999993,604.820494399999,STALL→tier1→2 d_max=10
ED_n050_014_a50_041,ED,50,0.5,3,3,1787.0,1797,0.5564830272676683,1,300.20431370000006,907.3651987999983,TIERS_EXHAUSTED
ED_n065_027_a75_081,ED,65,0.75,1,1,1972.0,1983,0.5547150781643975,1,300.67267979999815,300.67271790000086,STALL→tier0→1 d_max=13
ED_n065_027_a75_081,ED,65,0.75,2,2,1972.0,1982,0.5045408678102926,1,300.5721564000014,608.9270523000014,STALL→tier1→2 d_max=18
ED_n065_027_a75_081,ED,65,0.75,3,3,1972.0,1982,0.5045408678102926,1,312.4473085999998,934.0493079000007,TIERS_EXHAUSTED
C_n070_022_a50_065,C,70,0.5,1,1,2052.0,2062,0.4849660523763337,1,300.38837010000134,300.38839550000193,STALL→tier0→1 d_max=13
C_n070_022_a50_065,C,70,0.5,2,2,2052.0,2061,0.43668122270742354,1,300.27145050000036,608.5811616999999,STALL→tier1→2 d_max=18
C_n070_022_a50_065,C,70,0.5,3,3,2052.0,2060,0.3883495145631068,1,301.03737750000073,917.6537315000023,TIERS_EXHAUSTED
