instance,family,n,alpha,phase,tier,obj,ub,stall_run,obj_improved,gap_pct,seeds,alns_iters,n_new_best,n_improve,n_accept_worse,d_weights,r_weights,d_weights_best,r_weights_best,d_usage,r_usage,seed_list,seed_iters,best_seed,n_best_events,first_best_s,last_best_s,lag_s,phase_rt,cumul_rt,event
ED_n075_040_a25_118,ED,75,0.25,3,3,1588.0,1597,3,0,0.5635566687539135,1,455,0,30,152,"[3.9104, 4.2117, 2.8899]","[4.214, 4.5048, 1.9804, 3.0997]",,,"[165, 168, 121]","[133, 138, 99, 84]",[42],[455],,0,,,15.88,300.14037779998034,945.6677244999446,TIERS_EXHAUSTED
ED_n055_019_a50_056,ED,55,0.5,1,1,1897.0,1908,1,0,0.5765199161425576,2,527,0,17,243,"[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0]",,,"[182, 211, 133]","[164, 122, 130, 110]","[42, 123]","[500, 27]",,0,,,0.93,301.065951500088,301.9926931001246,STALL→tier0→1 d_max=8
ED_n055_019_a50_056,ED,55,0.5,2,2,1897.0,1907,2,0,0.5243838489774515,2,558,0,29,203,"[3.1882, 3.6333, 2.1875]","[3.8421, 2.75, 2.8182, 2.2]",,,"[143, 241, 173]","[163, 153, 112, 129]","[42, 123]","[500, 58]",,0,,,0.9,300.015152500011,602.9083390000742,STALL→tier1→2 d_max=11
ED_n055_019_a50_056,ED,55,0.5,3,3,1897.0,1907,3,0,0.5243838489774515,2,508,0,29,147,"[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0]",,,"[167, 191, 149]","[151, 137, 119, 100]","[42, 123]","[500, 8]",,0,,,0.99,301.5725716999732,905.4691802000161,TIERS_EXHAUSTED
ED_n065_030_a25_088,ED,65,0.25,1,1,1478.0,1509,1,0,2.054340622929092,2,729,0,48,372,"[5.6391, 7.6073, 5.3435]","[7.4023, 7.3419, 4.6547, 4.8631]",,,"[229, 282, 217]","[191, 254, 159, 124]","[42, 123]","[500, 229]",,0,,,6.58,300.1507890999783,306.73467630008236,STALL→tier0→1 d_max=7
ED_n065_030_a25_088,ED,65,0.25,2,2,1478.0,1492,2,0,0.938337801608579,2,877,0,68,375,"[4.8865, 7.1067, 3.9354]","[6.0765, 7.5386, 2.2881, 2.8119]",,,"[270, 358, 248]","[275, 309, 129, 163]","[42, 123]","[500, 377]",,0,,,6.73,300.1406135999132,613.6074822000228,STALL→tier1→2 d_max=9
ED_n065_030_a25_088,ED,65,0.25,3,3,1478.0,1489,3,0,0.7387508394895903,2,774,0,59,361,"[5.1479, 7.0917, 5.1792]","[6.8191, 8.4334, 2.7308, 3.7821]",,,"[225, 316, 232]","[195, 267, 156, 155]","[42, 123]","[500, 274]",,0,,,7.49,300.1076972000301,921.2008801000193,TIERS_EXHAUSTED
B_n140_021_a25_061,B,140,0.25,1,1,3142.0,3226,1,0,2.603843769373838,3,1279,0,58,588,"[4.7454, 7.1877, 5.53]","[7.7451, 7.0686, 4.3339, 3.6854]",,,"[326, 552, 400]","[377, 419, 234, 248]","[42, 123, 456]","[500, 500, 279]",,0,,,26.23,300.6361740999855,326.87119280011393,STALL→tier0→1 d_max=13
B_n140_021_a25_061,B,140,0.25,2,2,3142.0,3197,2,0,1.7203628401626525,3,1217,0,93,487,"[4.3623, 7.3253, 5.913]","[7.539, 7.7702, 3.2543, 4.0161]",,,"[341, 539, 336]","[398, 403, 216, 199]","[42, 123, 456]","[500, 500, 217]",,0,,,30.88,301.2879404001869,659.0363004000392,STALL→tier1→2 d_max=18
B_n140_021_a25_061,B,140,0.25,3,3,3142.0,3195,3,0,1.6588419405320816,3,1249,0,90,470,"[5.083, 6.6394, 5.3987]","[7.905, 7.3485, 3.2509, 2.4213]",,,"[380, 519, 349]","[411, 433, 198, 206]","[42, 123, 456]","[500, 500, 249]",,0,,,30.94,300.0093212998472,989.9892132999375,TIERS_EXHAUSTED
D_n060_022_a50_065,D,60,0.5,1,1,1777.0,1815,1,0,2.09366391184573,1,353,0,19,157,"[3.079, 5.6671, 4.5539]","[6.0457, 5.0915, 3.0728, 3.9393]",,,"[95, 127, 130]","[90, 108, 77, 77]",[42],[353],,0,,,2.07,303.4165825000964,305.4880723999813,STALL→tier0→1 d_max=10
D_n060_022_a50_065,D,60,0.5,2,2,1777.0,1792,2,0,0.8370535714285714,1,315,0,24,139,"[3.4126, 6.2485, 4.1464]","[7.0434, 5.7217, 3.2309, 3.2615]",,,"[75, 135, 104]","[82, 90, 70, 72]",[42],[315],,0,,,2.14,300.97562110004947,608.600425099954,STALL→tier1→2 d_max=13
D_n060_022_a50_065,D,60,0.5,3,3,1777.0,1790,3,0,0.7262569832402235,1,321,0,35,158,"[5.1142, 7.2505, 5.8654]","[8.45, 8.1257, 2.3499, 3.7619]",,,"[87, 132, 101]","[92, 103, 66, 59]",[42],[321],,0,,,2.12,302.9626458999701,913.6834178001154,TIERS_EXHAUSTED
EB_n150_027_a25_079,EB,150,0.25,1,1,2771.0,2817,1,0,1.632942847000355,3,1244,0,51,504,"[4.0751, 6.8831, 4.9139]","[6.3929, 6.5851, 4.8294, 3.9798]",,,"[325, 548, 370]","[362, 387, 251, 243]","[42, 123, 456]","[500, 500, 244]",,0,,,26.6,301.2608231001068,327.8609048000071,STALL→tier0→1 d_max=13
EB_n150_027_a25_079,EB,150,0.25,2,2,2771.0,2802,2,0,1.1063526052819415,3,1161,0,66,412,"[3.8415, 7.2737, 4.3077]","[6.6455, 6.9538, 4.5937, 3.5608]",,,"[309, 505, 346]","[341, 326, 252, 241]","[42, 123, 456]","[500, 500, 161]",,0,,,27.36,300.75162830017507,655.9676671000198,STALL→tier1→2 d_max=17
EB_n150_027_a25_079,EB,150,0.25,3,3,2771.0,2792,3,0,0.7521489971346704,3,1155,0,74,356,"[4.2091, 6.4719, 4.6126]","[5.8215, 6.9747, 4.1258, 3.1425]",,,"[307, 540, 307]","[336, 384, 228, 206]","[42, 123, 456]","[500, 500, 155]",,0,,,27.86,301.3022133000195,985.1309067001566,TIERS_EXHAUSTED
ED_n060_022_a50_065,ED,60,0.5,1,1,1737.0,1770,1,0,1.864406779661017,2,549,0,43,202,"[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0]",,,"[181, 177, 190]","[186, 179, 84, 99]","[42, 123]","[500, 49]",,0,,,1.79,301.7653441999573,303.55495849996805,STALL→tier0→1 d_max=9
ED_n060_022_a50_065,ED,60,0.5,2,2,1737.0,1768,2,0,1.753393665158371,2,514,0,33,166,"[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0]",,,"[139, 211, 163]","[160, 179, 89, 85]","[42, 123]","[500, 14]",,0,,,2.19,300.14001330011524,605.8812883000355,STALL→tier1→2 d_max=12
ED_n060_022_a50_065,ED,60,0.5,3,3,1737.0,1766,3,0,1.6421291053227631,2,527,0,44,175,"[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0]",,,"[146, 208, 172]","[161, 176, 94, 95]","[42, 123]","[500, 27]",,0,,,2.31,300.1481133000925,908.3414431998972,TIERS_EXHAUSTED
ED_n050_014_a50_041,ED,50,0.5,1,1,1787.0,1799,1,0,0.6670372429127293,2,773,0,22,339,"[4.608, 5.9095, 5.3941]","[7.7883, 5.6425, 3.3548, 3.8827]",,,"[204, 291, 277]","[234, 215, 161, 162]","[42, 123]","[500, 273]",,0,,,0.78,300.4772423999384,301.25519539997913,STALL→tier0→1 d_max=8
ED_n050_014_a50_041,ED,50,0.5,2,2,1787.0,1797,2,0,0.5564830272676683,2,739,0,29,309,"[4.6345, 6.8188, 4.0698]","[6.6745, 5.5809, 4.1956, 3.1573]",,,"[218, 294, 226]","[265, 191, 164, 118]","[42, 123]","[500, 239]",,0,,,0.83,300.7253396001179,602.8146685000975,STALL→tier1→2 d_max=10
ED_n050_014_a50_041,ED,50,0.5,3,3,1787.0,1797,3,0,0.5564830272676683,2,617,0,35,239,"[3.1455, 5.664, 3.3005]","[5.5607, 5.16, 3.9467, 3.6959]",,,"[183, 280, 153]","[180, 152, 177, 107]","[42, 123]","[500, 117]",,0,,,0.79,300.5957047000993,904.1983676999807,TIERS_EXHAUSTED
EC_n080_033_a25_097,EC,80,0.25,1,1,1806.0,1822,1,0,0.8781558726673985,4,1833,0,70,828,"[6.7964, 5.54, 3.6308]","[6.3836, 5.6024, 3.4787, 4.1317]",,,"[535, 757, 540]","[599, 528, 343, 362]","[42, 123, 456, 789]","[500, 500, 500, 333]",,0,,,4.87,300.0348771000281,304.9094279999845,STALL→tier0→1 d_max=8
