instance,family,obj,published_ub,published_gap_pct,lb2_floor,min_ub,new_gap_pct
C_n075_026_a50_077,C,1977.0,1978.0,0.0506,2057,1978.0,0.05055611729019212
C_n075_026_a75_078,C,2055.0,2055.0,0.0,2064,2055.0,0.0
C_n075_027_a25_079,C,1618.0,1618.0,0.0,2172,1618.0,0.0
C_n075_027_a50_080,C,2184.0,2185.0,0.0458,2233,2185.0,0.045766590389016024
C_n075_027_a75_081,C,2232.0,2232.0,0.0,2235,2232.0,0.0
C_n075_028_a25_082,C,1829.0,1834.0,0.2726,2329,1834.0,0.27262813522355506
C_n075_028_a50_083,C,2538.0,2538.0,0.0,2582,2538.0,0.0
C_n075_028_a75_084,C,2582.0,2582.0,0.0,2586,2582.0,0.0
C_n075_029_a25_085,C,2168.0,2172.0,0.1842,2688,2172.0,0.1841620626151013
C_n075_029_a50_086,C,3004.0,3013.0,0.2987,3225,3013.0,0.2987056090275473
C_n075_029_a75_087,C,3223.0,3223.0,0.0,3225,3223.0,0.0
C_n075_030_a25_088,C,1777.0,1777.0,0.0,2475,1777.0,0.0
C_n075_030_a50_089,C,2568.0,2572.0,0.1555,2757,2572.0,0.15552099533437014
C_n075_030_a75_090,C,2722.0,2722.0,0.0,2757,2722.0,0.0
C_n080_031_a25_091,C,1515.0,1516.0,0.066,2106,1516.0,0.06596306068601583
C_n080_031_a50_092,C,2287.0,2288.0,0.0437,2359,2288.0,0.043706293706293704
C_n080_031_a75_093,C,2365.0,2365.0,0.0,2375,2365.0,0.0
C_n080_032_a25_094,C,1747.0,1747.0,0.0,2302,1747.0,0.0
C_n080_032_a50_095,C,2403.0,2404.0,0.0416,2463,2404.0,0.04159733777038269
C_n080_032_a75_096,C,2461.0,2461.0,0.0,2465,2461.0,0.0
C_n080_033_a25_097,C,2029.0,2035.0,0.2948,2539,2035.0,0.29484029484029484
C_n080_033_a50_098,C,2748.0,2748.0,0.0,2803,2748.0,0.0
C_n080_033_a75_099,C,2803.0,2803.0,0.0,2807,2803.0,0.0
C_n080_034_a25_100,C,2268.0,2272.0,0.1761,2881,2272.0,0.17605633802816903
C_n080_034_a50_101,C,3205.0,3207.0,0.0624,3428,3207.0,0.06236357966947303
C_n080_034_a75_102,C,3425.0,3425.0,0.0,3428,3425.0,0.0
C_n080_035_a25_103,C,1897.0,1902.0,0.2629,2686,1902.0,0.26288117770767616
C_n080_035_a50_104,C,2778.0,2782.0,0.1438,2969,2782.0,0.14378145219266716
C_n080_035_a75_105,C,2934.0,2934.0,0.0,2969,2934.0,0.0
D_n040_001_a25_001,D,715.0,715.0,0.0,861,715.0,0.0
D_n040_001_a50_002,D,970.0,970.0,0.0,1207,970.0,0.0
D_n040_001_a75_003,D,1203.0,1203.0,0.0,1210,1203.0,0.0
D_n040_002_a25_004,D,352.0,352.0,0.0,397,352.0,0.0
D_n040_002_a50_005,D,894.0,894.0,0.0,1153,894.0,0.0
D_n040_002_a75_006,D,1137.0,1137.0,0.0,1174,1137.0,0.0
D_n040_003_a25_007,D,563.0,563.0,0.0,718,563.0,0.0
D_n040_003_a50_008,D,1023.0,1023.0,0.0,1153,1023.0,0.0
D_n040_003_a75_009,D,1149.0,1149.0,0.0,1164,1149.0,0.0
D_n040_004_a25_010,D,723.0,723.0,0.0,1085,723.0,0.0
D_n040_004_a50_011,D,1374.0,1374.0,0.0,1542,1374.0,0.0
D_n040_004_a75_012,D,1537.0,1537.0,0.0,1543,1537.0,0.0
D_n040_005_a25_013,D,837.0,837.0,0.0,1066,837.0,0.0
D_n040_005_a50_014,D,1351.0,1353.0,0.1478,1478,1353.0,0.14781966001478197
D_n040_005_a75_015,D,1467.0,1467.0,0.0,1489,1467.0,0.0
D_n045_006_a25_016,D,745.0,745.0,0.0,1011,745.0,0.0
D_n045_006_a50_017,D,1208.0,1208.0,0.0,1258,1208.0,0.0
D_n045_006_a75_018,D,1245.0,1245.0,0.0,1260,1245.0,0.0
D_n045_007_a25_019,D,662.0,663.0,0.1508,937,663.0,0.1508295625942685
